accession	bioproject	title	organization	is_controlled	access	openaccess_data_type	release_time_string	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why	page_ok	description	accessibility_page	study_type	release_date_page	n_listing	listing_kinds	example_run_files	processed_on_hra
HRA000295	PRJCA003299	3D genomics of Lung cancer	Huazhong Agricultural University	0	Open	1	2026-06-07	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000295	True	False	False	False	False	lung	True	Characterize three-dimentional chromatin organization of lung cancer cellline	Open access	Cell line related study	2022-06-23	10	"{""run_or_nested"": 8, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR099873_f1.fq.gz,HRR099873_r2.fq.gz,(.+?)	0
HRA002055	PRJCA008354	Genomic and proteomic detection and correlation analysis of neoantigens in non-small cell lung cancer	Peking Union Medical College Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College	0	Open	0	2026-07-27	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002055	True	False	False	False	False	lung	True	In recent years, Immune checkpoint inhibitors (ICIs) have become an important strategy for the treatment of patients with advanced non-small cell lung cancer (NSCLC). As an important biomarker and potential immunotherapeutic target, neoantigen plays an important role in the treatment and prognosis of NSCLC patients. Whole exome sequencing (WES) was performed on histological samples of enrolled patients, and neoantigen was predicted by Neopipe. The relationship between candidate neoantigen and clinicopathological characteristics was analyzed. The relationship between prediction of neoantigen and gene mutation features was analyzed.	Open access	Disease Study	2022-03-03	58	"{""run_or_nested"": 56, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR607459_f1.fastq.gz,HRR607459_r2.fastq.gz,HRR607459_sta.xml,(.+?)	0
HRA001966	PRJCA008327	Predicting durable responses to immune checkpoint inhibitors in non-small-cell lung cancer using a multi-feature model	Tianjin Medical University General Hospital	1	Controlled	0	2022-06-17	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001966	True	True	False	False	False	lung+ici	True	Predicting durable responses to immune checkpoint inhibitors in non-small-cell lung cancer using a multi-feature model	Controlled access	Disease Study	2022-02-22	0	{}		0
HRA001504	PRJCA007073	The web-based multiplex PCR primer design software Ultiplex and the associated experimental workflow: Up to 100- plex multiplicity	Zhujiang Hospital, Southern Medical University	0	Open	0	2023-02-01	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001504	False	False	False	True	False	mpr_keyword	True	Ultiplex was developed as a free online multiplex primer design tool with a user-friendly web-based interface (http://ultiplex.igenebook.cn). To evaluate the performance of Ultiplex, 294 out of 295 (99.7%) target primers were successfully designed. A total of 275 targets produced qualified primers after primer filtration, and 271 of those targets were successfully clustered into one compatible PCR group and could be covered by 108 primers. The designed primer group stably detected the rs28934573(C>T) mutation at lower than a 0.25% mutation rate in a series of samples with different ratios of HCT-15 and HaCaT cell line DNA.	Open access	Cell line related study	2021-11-03	0	{}		0
HRA001277	PRJCA006452	Tumor Microenviroment Characteristics in a Patient with HER2 Mutant Lung Squamous Cell Carcinoma harboring High PD-L1 Expression Who Presented Hyperprogressive Disease	Second Affiliated Hospital of Zhejiang University School of Medicine	1	Controlled	0	2026-06-19	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001277	True	True	False	False	False	lung+ici	True	High PD-L1 expression in non-small cell lung cancer (NSCLC) is evident to predict elevated immunotherapy efficacy, to which NSCLC with onco-driver genes mutations is probed with poor responsiveness. Thus, it is of great interest to investigate how effective immune monotherapy is in the presence of concurrent high PD-L1 expression and driving genes mutation.	Controlled access	Disease Study	2021-09-17	0	{}		0
HRA001163	PRJCA006136	Long Non-coding RNA NR2F1-AS1 Induces Breast Cancer Lung Metastatic Dormancy by Regulating NR2F1 and deltaNp63	Shanghai Institute of Nutrition and Health, Chinese Academy of Sciences	0	Open	0	2021-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001163	True	False	False	False	False	lung	True	Disseminated tumor cells often fall into a long term of dormant stage, characterized by decreased proliferation but sustained survival, in distant organs before awakening for metastatic growth. However, the regulatory mechanism of metastatic dormancy and awakening is largely unknown. Here, we show that the epithelial-like and mesenchymal-like subpopulations of breast cancer stem-like cells (BCSCs) demonstrate different levels of dormancy and tumorigenicity in lungs. LncRNA NR2F1-AS1 (NAS1) is highly expressed in mesenchymal-like breast cancer stem-like cells and promotes cancer cell dissemination and lung metastatic dormancy by regulating BCSC heterogeneity through NR2F1-deltaNp63 axis.	Open access	Cell line related study	2021-08-15	14	"{""run_or_nested"": 12, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR341492_f1.fastq.gz,HRR341492_r2.fastq.gz,HRR341492_sta.xml,(.+?)	0
HRA000607	PRJCA004322	Single-cell transcriptomic analysis of small cell lung cancer reveals its immunosuppressive microenvironment and implies the benefit of immunotherapy	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000607	True	True	False	False	False	lung+ici	True	Small cell lung cancer (SCLC) is a deadly neuroendocrine malignancy without efficient treatment. Due to the scarcity of fresh tumor samples, the heterogeneity and cellular diversity of SCLC at the single-cell level remain to be elucidated. We utilized the endobronchial ultrasound-guided transbronchial needle aspiration (EBUS-TBNA) sampling strategy to examine the single-cell transcriptome of metastatic lymph node samples from 7 SCLC patients.	Controlled access	Disease Study	2021-02-02	0	{}		0
HRA000339	PRJCA003482	Establishment of lung tumor organoids	Beihang University	0	Open	0	2026-04-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000339	True	False	False	False	False	lung	True	We established organoids from patient derived lung tumor tissues and compared the genetic alterations in the tumor organoids and the original tumor tissues. We demonstrated that tumor organoids retained the genetic profiles of the parental tissues.	Open access	Cohort Study	2021-01-20	48	"{""run_or_nested"": 46, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR127449_f1.fq.gz,HRR127449_r2.fq.gz,HRR127449_sta.xml,(.+?)	0
HRA000239	PRJCA003091	ctDNA concentration, MIKI67mutations and hyper-progressive disease related gene mutations are prognostic markers for Camrelizumab and Apatinib combined multiline treatment in advanced NSCLC	HaploX Biotechnology Co., Ltd	1	Controlled	0	2021-11-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000239	True	True	False	False	False	lung+ici	True	Immunotherapy by immune checkpoint inhibitors (ICIs) has showed outstanding efficacy in the treatment of advanced non-small cell lung cancer (NSCLC). The combination of immunotherapy with anti-angiogenic therapy exhibited enhanced efficacy in multiline treatment. However, the potential biomarkers for predicting and monitoring the therapeutic response of the combined therapy remain undefined. In this study, we performed a pilot study by prospectively recruiting 22 advanced NSCLC patients who failed to previous lines of chemotherapy, chemoradiotherapy, TKI therapy, surgery, or any combination of the therapies, and investigated the prognostic factors for patients who received anti-PD-1 (Camrelizumab) and anti-angiogenic (Apatinib) combined therapy.	Controlled access	Disease Study	2020-07-30	0	{}		0
HRA000104	PRJCA002127	Dynamics of peripheral blood T cell clones during PD-1 blockade in lung cancer	Peking University	1	Controlled	0	2026-06-26	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000104	True	True	False	False	False	lung+ici	True	Data Accessibility:	Controlled access	Disease Study	2020-01-25	0	{}		0
