accession	title	taxon	gdstype	n_samples	pdat	suppfile	queries	summary
GSE309894	Clinical Characteristics and Spatial transcriptome analysis of Early Resistance to Alectinib in ALK-Positive non-small cell lung cancer: A Retrospective OLCSG Study	Homo sapiens		34			Cldn4 AND lung	In anaplastic lymphoma kinase (ALK) gene rearrangements positive lung cancer, alectinib has shown good efficacy and is used as a first-line drug. However, some cases show early resistance within 3 months, but the characteristics of these cases have not been established. We analyzed patients with unresectable stage III/IV without indications for radical radiotherapy and recurrent ALK-positive lung cancer who received alectinib for primary ALK-TKI. Spatial transcriptome analysis and immunohistochemical staining revealed upregulation of Annexin A1 (ANXA1) in the early resistant group.
GSE309972	Stc1-expressing myofibroblasts are a developmentally distinct lineage cleared through apoptosis in the neonatal lung	Mus musculus		4			Tacstd2 AND lung	Lung myofibroblasts are necessary for early postnatal alveolar growth. The unique contributions of individual myofibroblast lineages to alveolar development is unresolved by existing genetic tools. We generated a Stc1CreERT2 mouse line that labels the developmentally transient secondary crest myofibroblasts (SCMFs), distinguishing them from alveolar duct myofibroblasts (DMF) and smooth muscle. SCMFs expand through clonal proliferation of Stc1-expressing progenitors and are cleared by apoptosis. Deleting the apoptosis effectors Bax and Bak1 in the Stc1-lineage prevented SCMF clearance during alveologenesis. Single-cell RNA sequencing showed that surviving Stc1-lineage cells lose myofibroblast identity while coexpressing SCMF and DMF markers. Embryonic lineage tracing identified distinct progenitors for SCMFs and DMFs, and genetic activation of Hedgehog (Hh) or Wnt signaling pathways failed to interconvert these lineages. These findings establish Stc1-lineage SCMFs as a discrete, developmentally divergent population, and define their life cycle independent of other myofibroblast lineages.
GSE310084	Runx1 Promotes Myofibroblast Cell Fate during Development and Fibrosis	Mus musculus		2			Tacstd2 AND lung	Alveologenesis is the final stage of lung maturation, during which alveolar saccules are subdivided into smaller alveoli through the process of secondary septation, responsible for generating ~95% of the gas exchange surface area (1). Secondary crest myofibroblasts (SCMFs), which are transiently present in the distal alveolar regions, are required for alveolar maturation due to their ability to contract (2). By the end of alveologenesis, SCMFs are eliminated through apoptosis (3). However, the molecular drivers for the initial SCMF cell fate specification remain poorly understood. Pulmonary fibrosis is characterized by aberrant activation of lung fibroblasts into fibrotic myofibroblast, which produce excessive extracellular matrix (ECM) among other hallmarks of the disease. In the bleomycin mouse model of pulmonary fibrosis, recent lineage tracing and single-cell RNA sequencing (scRNA-seq) analyses have shown that CTHRC1+ fibrotic myofibroblasts are primarily derived from alveolar fibroblasts (4). Although several signaling pathways, including TGFβ, have been implicated in the transition of alveolar fibroblasts into fibrotic myofibroblasts (5), the downstream mediators, such as transcription factors (TFs), are not yet fully defined.
GSE310539	AP-1 mediated chromatin changes govern alveolar type 2 cell transition in lung injury-repair [multiome]	Mus musculus		8			Cldn4 AND lung	Facultative stem cells including alveolar type 2 (AT2) cells in the lung must toggle between unipotent specialization and multipotent plasticity during injury-repair. The underlying molecular switches and epigenetic changes remain unclear yet dictate regeneration versus pathology. Using multiomics and mouse genetics, we show that AP-1 members FOS, FOSB, and JUNB promote an injury-induced transitional AT2 cell state and associated chromatin landscape. Joint transcriptomic-epigenomic profiling and immunostaining distinguish CLDN4+ AT2 cells as a KRT8high subset with open chromatin highly enriched for AP-1 motifs. JUNB and FOSB accumulate in these cells upon viral injury and, along with constitutive FOS, are required for CLDN4 induction, AT2 cell dispersion, and senescence signaling toward fibroblasts, while impacting region-specific alveolar type 1 (AT1) differentiation. AP-1 activation also occurs in mouse AT2 cells expressing oncogenic Kras and transitional cells of human lung adenocarcinoma. Our work refines AT2 transitional states and reveals a gene regulatory logic shared by tissue repair and tumorigenesis.
GSE311198	Transcriptomic Signature-Guided Depletion of Intermediate Alveolar Epithelial Cells Ameliorates Pulmonary Fibrosis in Mice	Mus musculus		1			Tacstd2 AND lung	scRNA-seq was used to profile transitional AT2 cells in bleomycin-injured mouse lungs. Using an RNA-sensing strategy, Sprr1a-expressing cells corresponding to Krt8⁺ alveolar differentiation intermediates (ADIs) were selectively labeled and analyzed. scRNA-seq revealed that Sprr1a+ cells display transcriptomic features of transitional epithelial states. These datasets provide a resource to study the role of transitional epithelial populations in lung fibrosis.
GSE311377	Rewiring STAT signaling from the cell surface with Trikine immunotherapeutics [scRNAseq of IL21 Trikine]	Mus musculus		3			small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Cytokines dimerize two receptor chains to activate Janus kinases and STAT transcription factors that regulate immune cells but have therapeutic liabilities. We engineered “Trikines” to compel cis formation of three-chain cytokine receptor complexes at the cell surface that induce bespoke STAT transcriptional signaling programs optimized for therapeutic efficacy. Designed Trikines co-activated pSTAT5 and pSTAT3 signatures distinct from any natural cytokines, by assembling trimeric combinations of Interleukin-2 (IL-2), Interleukin-10 (IL-10), and Interleukin-21 (IL-21) receptors. IL-2-based-Trikines restrain terminal differentiation of T cells, promote stemness, and enhance durability of tumor control. Unexpectedly, an IL-10-based Trikine induced immune infiltration into poorly immunogenic tumors, showing striking efficacy in small cell lung cancer and pancreatic cancer models. Trikines obviate the need for cell engineering to customize STAT signatures for immunotherapy.
GSE311378	Rewiring STAT signaling from the cell surface with Trikine immunotherapeutics [RNAseq of IL21 Trikine]	Mus musculus		15			small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Cytokines dimerize two receptor chains to activate Janus kinases and STAT transcription factors that regulate immune cells but have therapeutic liabilities. We engineered “Trikines” to compel cis formation of three-chain cytokine receptor complexes at the cell surface that induce bespoke STAT transcriptional signaling programs optimized for therapeutic efficacy. Designed Trikines co-activated pSTAT5 and pSTAT3 signatures distinct from any natural cytokines, by assembling trimeric combinations of Interleukin-2 (IL-2), Interleukin-10 (IL-10), and Interleukin-21 (IL-21) receptors. IL-2-based-Trikines restrain terminal differentiation of T cells, promote stemness, and enhance durability of tumor control. Unexpectedly, an IL-10-based Trikine induced immune infiltration into poorly immunogenic tumors, showing striking efficacy in small cell lung cancer and pancreatic cancer models. Trikines obviate the need for cell engineering to customize STAT signatures for immunotherapy.
GSE311571	Rewiring STAT signaling from the cell surface with Trikine immunotherapeutics [scRNAseq of IL10 Trikine]	Mus musculus		3			small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Cytokines dimerize two receptor chains to activate Janus kinases and STAT transcription factors that regulate immune cells but have therapeutic liabilities. We engineered “Trikines” to compel cis formation of three-chain cytokine receptor complexes at the cell surface that induce bespoke STAT transcriptional signaling programs optimized for therapeutic efficacy. Designed Trikines co-activated pSTAT5 and pSTAT3 signatures distinct from any natural cytokines, by assembling trimeric combinations of Interleukin-2 (IL-2), Interleukin-10 (IL-10), and Interleukin-21 (IL-21) receptors. IL-2-based-Trikines restrain terminal differentiation of T cells, promote stemness, and enhance durability of tumor control. Unexpectedly, an IL-10-based Trikine induced immune infiltration into poorly immunogenic tumors, showing striking efficacy in small cell lung cancer and pancreatic cancer models. Trikines obviate the need for cell engineering to customize STAT signatures for immunotherapy.
GSE313671	Prostaglandin I₂ Receptor Activation Promotes Alveolar Regeneration via the JUN/p53 Pathway [scRNA-seq]	Mus musculus		2			Tacstd2 AND lung	Rationale: Transdifferentiation of alveolar type 2 (AT2) epithelial cells into type 1 (AT1) cells is essential for maintaining lung homeostasis and facilitating repair following injury. However, the molecular mechanisms governing AT2-to-AT1 transdifferentiation remain unclear. Objectives: To investigate the role of the prostaglandin I2 receptor (IP) in regulating AT2-to-AT1 transdifferentiation and elucidate the underlying mechanisms. Methods: Alveolar organoid cultures and bleomycin- or lipopolysaccharide (LPS)-induced murine lung injury models were used to assess the role of IP in AT2-to-AT1 transdifferentiation and lung repair. Single-cell RNA sequencing (scRNA-seq), ATAC-seq, and biochemical assays were performed to explore the regulatory signaling pathways downstream of IP in AT2 cells. Measurements and Main Results: Among all prostaglandin receptors, IP exhibited the strongest association with AT1 gene enrichment in transitional AT2 cells from patients with idiopathic pulmonary fibrosis (IPF). Pharmacological inhibition or genetic deletion of IP significantly impaired the AT2-to-AT1 transition in organoid cultures. Conditional knockout of IP in AT2 cells exacerbated bleomycin- and lipopolysaccharide-induced lung injury by reducing epithelial regeneration and increasing fibrosis. Mechanistically, IP deficiency led to aberrant JUN activation, which suppressed p53-dependent AT1 gene expression. IP activation promoted PKA-mediated inhibition of MAP3K5, thereby suppressing the JNK/JUN axis and enhancing p53-driven AT2-to-AT1 transdifferentiation. Pharmacological activation of IP with selexipag promoted alveolar epithelial regeneration and reduced lung fibrosis in mice. IP agonist also enhanced AT2-to-AT1 transdifferentiation in primary AT2 cells from patients with IPF. Conclusions: IP is a key regulator of alveolar epithelial regeneration. Therapeutic activation of IP may be a promising strategy for promoting lung repair.
GSE314772	Fibrotic Remodeling in the NOD/ShiLtJ Mouse Model of Sjögren’s Disease: Insights from Single-Cell Transcriptomics and AI-Driven Quantification	Mus musculus		2			Tacstd2 AND lung	Sjögren’s Disease (SjD) is a systemic autoimmune disorder characterized by salivary gland hypofunction and lymphocytic infiltration, yet the contribution of fibrosis to glandular dysfunction remains unclear. The NOD/ShiltJ mouse is a well-established model for SjD. In this study, we evaluated the presence of and impact of fibrosis in the salivary glands of the NOD/ShiLtJ mouse. Using scRNASeq, we investigated differential gene expression in the fibroblasts of NOD mouse vs control mice. Fibroblast populations in the salivary glands of the NOD mouse exhibited increased levels of extracellular matrix mRNAs, including Col1a1, Col1a2, and Col3a1, relative to the control strain. From histological staining with Picrosirius red and AI-driven fibrosis quantification, we identified significant fibrotic remodeling in the submandibular glands of non-obese diabetic NOD/ShiLtJ mice relative to controls, which correlated with the diabetic phenotype in this mouse strain. We assessed the therapeutic potential of Nintedanib to alleviate this fibrotic phenotype. Nintedanib is an FDA-approved antifibrotic agent for chromic fibrosing interstitial lung disease. While Nintedanib did not significantly reduce immune infiltration or restore salivary function, it modestly decreased multiple fibrosis scores in long-term treatment cohorts. These findings demonstrate that the NOD/ShiLtJ strain models the fibrotic response that occurs in SjD patients and supports further investigation into antifibrotic therapies for salivary gland dysfunction.
GSE316241	Early fibrotic niches establish tumour-permissive microenvironments [Experiment 1]	Mus musculus		2			Tacstd2 AND lung	Pathologic transformation represents a pivotal yet poorly defined window during which early alterations in epithelial stem cells remodel their surrounding niche to prime tumour initiation. Here, we integrate single-cell, spatial, and functional analyses to map the dynamics of this early multicellular reorganisation. We show that KrasG12D-mutant alveolar type II cells undergo an early reprogramming transition that transforms them into signalling hubs, with the Amphiregulin (Areg)-EGFR axis emerging as a central driver of cross-compartmental cooperation. Mutant epithelial cells secrete Areg to activate EGFR in adjacent fibroblasts, eliciting a regenerative-like fibrotic programme. These reprogrammed fibroblasts, in turn, reshape the immune landscape by expanding and reprogramming alveolar macrophages, amplifying inflammatory signalling, immune recruitment, and epithelial plasticity. Together, these interactions establish a self-reinforcing multicellular circuit that generates and maintains a tumour permissive niche. Disrupting that circuit through genetic and pharmacological perturbation of the Areg-EGFR axis prevents both early niche cell reprogramming and tumour formation. Findings from KRASG12D-inducible human alveolar organoids and early-stage lung adenocarcinoma tissues confirm conservation of these interactions, identifying early mutant epithelial-stromal crosstalk as a targetable step in pathologic transformation with potential to avert establishment of treatment-resistant disease.
GSE316243	Early fibrotic niches establish tumour-permissive microenvironments [Experiment 2]	Mus musculus		2			Tacstd2 AND lung	Pathologic transformation represents a pivotal yet poorly defined window during which early alterations in epithelial stem cells remodel their surrounding niche to prime tumour initiation. Here, we integrate single-cell, spatial, and functional analyses to map the dynamics of this early multicellular reorganisation. We show that KrasG12D-mutant alveolar type II cells undergo an early reprogramming transition that transforms them into signalling hubs, with the Amphiregulin (Areg)-EGFR axis emerging as a central driver of cross-compartmental cooperation. Mutant epithelial cells secrete Areg to activate EGFR in adjacent fibroblasts, eliciting a regenerative-like fibrotic programme. These reprogrammed fibroblasts, in turn, reshape the immune landscape by expanding and reprogramming alveolar macrophages, amplifying inflammatory signalling, immune recruitment, and epithelial plasticity. Together, these interactions establish a self-reinforcing multicellular circuit that generates and maintains a tumour permissive niche. Disrupting that circuit through genetic and pharmacological perturbation of the Areg-EGFR axis prevents both early niche cell reprogramming and tumour formation. Findings from KRASG12D-inducible human alveolar organoids and early-stage lung adenocarcinoma tissues confirm conservation of these interactions, identifying early mutant epithelial-stromal crosstalk as a targetable step in pathologic transformation with potential to avert establishment of treatment-resistant disease.
GSE316244	Early fibrotic niches establish tumour-permissive microenvironments [Experiment 3]	Mus musculus		4			Tacstd2 AND lung	Pathologic transformation represents a pivotal yet poorly defined window during which early alterations in epithelial stem cells remodel their surrounding niche to prime tumour initiation. Here, we integrate single-cell, spatial, and functional analyses to map the dynamics of this early multicellular reorganisation. We show that KrasG12D-mutant alveolar type II cells undergo an early reprogramming transition that transforms them into signalling hubs, with the Amphiregulin (Areg)-EGFR axis emerging as a central driver of cross-compartmental cooperation. Mutant epithelial cells secrete Areg to activate EGFR in adjacent fibroblasts, eliciting a regenerative-like fibrotic programme. These reprogrammed fibroblasts, in turn, reshape the immune landscape by expanding and reprogramming alveolar macrophages, amplifying inflammatory signalling, immune recruitment, and epithelial plasticity. Together, these interactions establish a self-reinforcing multicellular circuit that generates and maintains a tumour permissive niche. Disrupting that circuit through genetic and pharmacological perturbation of the Areg-EGFR axis prevents both early niche cell reprogramming and tumour formation. Findings from KRASG12D-inducible human alveolar organoids and early-stage lung adenocarcinoma tissues confirm conservation of these interactions, identifying early mutant epithelial-stromal crosstalk as a targetable step in pathologic transformation with potential to avert establishment of treatment-resistant disease.
GSE316257	Rewiring STAT signaling from the cell surface with Trikine immunotherapeutics	Mus musculus		6			small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Cytokines dimerize two receptor chains to activate Janus kinases and STAT transcription factors that regulate immune cells but have therapeutic liabilities. We engineered “Trikines” to compel cis formation of three-chain cytokine receptor complexes at the cell surface that induce bespoke STAT transcriptional signaling programs optimized for therapeutic efficacy. Designed Trikines co-activated pSTAT5 and pSTAT3 signatures distinct from any natural cytokines, by assembling trimeric combinations of Interleukin-2 (IL-2), Interleukin-10 (IL-10), and Interleukin-21 (IL-21) receptors. An IL-2-based-Trikine restrained terminal differentiation of T cells, promoted stemness, and enhanced durability of tumor control without toxicity. Unexpectedly, an IL-10-based Trikine induced immune infiltration into poorly immunogenic tumors, showing striking efficacy in small cell lung cancer and pancreatic cancer models. Trikines obviate the need for cell engineering to customize STAT signatures for immunotherapy
GSE316749	AURKA/PHB2 signaling drives acquired resistance to KRAS G12C inhibitors in KRAS G12C -mutant NSCLC	Homo sapiens		6			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	Patients with non-small cell lung cancer (NSCLC) who initially respond to Sotorasib, a drug targeting the KRAS G12C mutation, eventually develop acquired resistance. However, the mechanisms driving this acquired resistance remain largely unclear. This study explored the role of AURKA in mediating resistance to Sotorasib in NSCLC. The expression levels of AURKA mRNA and protein in NSCLC cell lines (H358 and Calu-1) were assessed using qPCR and Western blot. To further elucidate the role of AURKA in the biological alterations of Sotorasib-resistant cells and its association with the PI3K/AKT signaling pathway, a comprehensive set of assays were conducted, including MTS, colony formation, Transwell migration, luciferase reporter assays, fluorescent in situ hybridization (FISH), molecular docking analyses, and immunoprecipitation. The key findings include: (1) Long-term Sotorasib treatment led to upregulation of AURKA; (2) Overexpression of AURKA induced Sotorasib resistance, suppressed apoptosis and promoted migratory potential in Calu-1 and H358 cells, while AURKA knockdown increased the sensitivity, enhanced apoptosis and inhibited migratory capacity of H358-SR and Calu-1-SR cells to Sotorasib; (3) Immunoprecipitation and luciferase reporter assays demonstrated a physical interaction between AURKA and PHB2, establishing a positive feedback loop that sustained malignant behaviors, potentially explaining how Sotorasib-resistant cells survived despite KRAS pathway inhibition; (4) AURKA stabilizes PHB2, activating the PI3K/AKT pathway and allowing cancer cells to bypass the KRAS blockade, thus restoring malignant behavior. (5) The combination of AURKA inhibitor and Sotorasib alleviates the acquired drug resistance in vitro and in vivo. These data suggest that resistance to Sotorasib in NSCLC is associated with a positive feedback loop involving AURKA, PHB2, and PI3K/AKT signaling. AURKA may serve as a biomarker for predicting the therapeutic efficacy of Sotorasib in KRAS G12C-targeted therapies and as a potential therapeutic target to overcome Sotorasib resistance in NSCLC.
GSE317253	Enhanced mitophagy promotes lung repair and regeneration by restoring epithelial metabolic fitness [AT2s RNA-Seq]	Mus musculus		8			Tacstd2 AND lung	Alveolar Type II cells (AT2s) are the stem cells in the alveoli, responsible for both alveolar homeostasis and regeneration. Mitochondrial dysfunction has been reported in the AT2 cells from both chronic and acute injury induced alveolar diseases, including idiopathic pulmonary fibrosis (IPF) and viral pneumonia. Here, we demonstrate that genetic depletion of Ubiquitin Specific Peptidase 30 (USP30), a negative regulator of mitophagy, boosts mitophagy and restores mitochondrial function, leading to protection from injury induced AT2 apoptosis and increased AT2 stem cell activity. Both global Usp30 knockout (KO) and AT2-specific Usp30 KO protects the mice from bleomycin induced lung fibrosis and influenza puneumonia. Moreover, pharmaceutical inhibition of USP30 using a small molecule inhibitor effectively alleviates lung fibrosis and influenza pneumonia. Our study underscores a therapeutic potiential of USP30 inhibition for the treatment of injury induced alveolar diseases, offering a promising strategy for treating injury induced diseases
GSE317576	Respiratory viral infections prime accelerated lung cancer growth [scRNA-Seq]	Mus musculus		6			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	The COVID-19 pandemic has highlighted long-term health consequences of viral pneumonia, yet its impact on cancer development and progression remains poorly understood. Here, we show that prior SARS-CoV-2 or influenza infection accelerates lung tumor progression by reprogramming the local immune landscape. To define mechanisms underlying infection-induced tumor promotion, we performed single-cell RNA-seq on whole-lung cells from KP mice at 6 weeks (PBS_T6, IAV_T6) and 12 weeks (PBS_T12, IAV_T12) after tumor induction, along with tumor-free PBS and IAV controls (time matched to T6). Across conditions, scRNA-seq revealed that prior viral pneumonia programs a pro-tumor lung microenvironment marked by increased pro-tumor myeloid programs and diminished anti-tumor CD8+ T cell immunity. Notably, we identified a dominant SiglecF^hi tumor-associated neutrophil subset enriched in infected tumors that exhibits hypoxia/glycolysis- and immunosuppression-associated transcriptional programs and shows the strongest predicted interactions with progenitor and tumor epithelial populations.
GSE318135	β-Lapachone Antagonizes Ubiquitin-Specific Protease 18 Activity to Elicit Anti-Neoplastic Effects	Homo sapiens		54			344SQ	The deubiquitinase (DUB) Ubiquitin-Specific Protease 18 (USP18) is as an antineoplastic  target.  USP18 inhibitors are needed. To address this unmet need, we engineered an enzymatically active human recombinant USP18 protein for high-throughput screening. This found β-lapachone was an inhibitor of USP18-ISG15 activity. Independent β-Lapachone treatments of murine and human lung cancer cell lines statistically-significantly reduced proliferation and increased apoptosis. Gain of USP18 expression opposed these effects. β-Lapachone treatments statistically- significantly repressed growth of H1299 human lung cancer xenografts in athymic mice and also in syngeneic mice transplanted with murine 344SQ lung cancers. β-Lapachone increased reactive oxygen species (ROS) but antineoplastic effects proceeded at concentrations having little ROS production.  ROS scavenger treatments did not rescue anti-cancer effects, indicating an ROS-independent anti-neoplastic mechanism was engaged. To identify this an Interferon-Stimulated Response Element (ISRE) reporter assay was used. β-Lapachone treatment activated this reporter activity as expected for a USP18 inhibitor. β-Lapachone treatment increased global ISG15 conjugation. Proteomic analysis and immunoprecipitation assays revealed known and new ISG15ylated proteins. RNA sequencing of parental lung cancer cells engineered with or without gain of USP18 expression found differentially expressed genes and pathways after β-lapachone treatments. Taken together, β-lapachone is a novel USP18 inhibitor and cancer biology tool.
GSE319596	Lineage identity governs oncogene dependence in murine NSCLC models of KRAS inhibitor resistance [ATAC-Seq]	Mus musculus		16			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	Primary and acquired resistance to targeted therapy represent significant challenges to durable treatment responses in cancer. In lung cancer and other cancer types, allele- specific and pan-KRAS inhibitors offer new promise, but these are hampered by incomplete responses as well as genetic and non-genetic mechanisms of acquired resistance. To model these mechanisms, we treat genetically engineered mouse models of KrasG12C-driven lung cancer with sotorasib, a KRASG12C inhibitor, until the emergence of drug resistance. The initial response to sotorasib was rapid, but incomplete. Residual tumor burden transcriptionally resembled the alveolar type II cell, phenocopying residual disease signatures identified in patients treated with EGFR inhibitors. After continued sotorasib treatment, we observed diverse mechanisms of drug resistance in vivo, including genetic MAPK reactivation and lineage transformation from adenocarcinoma to squamous histology. Focusing mechanistic studies on squamous transformation, we showed that expression of the basal transcription factor ∆Np63 is sufficient to rewire transformed alveolar organoids to a squamous state in vitro, conferring insensitivity to KRAS inhibition. In vivo, either ectopic expression of Sox2 or loss of Nkx2-1, which are tolerated during Kras-driven tumorigenesis, poised tumors for squamous lineage commitment upon KRAS inhibition. Squamous- transformed tumors did not exhibit evidence of KRAS/MAPK reactivation, underscoring the role for lineage transcription factors and histologic transformation in mediating oncogene independence.
GSE319597	Lineage identity governs oncogene dependence in murine NSCLC models of KRAS inhibitor resistance [RNA-Seq]	Mus musculus		16			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	Primary and acquired resistance to targeted therapy represent significant challenges to durable treatment responses in cancer. In lung cancer and other cancer types, allele- specific and pan-KRAS inhibitors offer new promise, but these are hampered by incomplete responses as well as genetic and non-genetic mechanisms of acquired resistance. To model these mechanisms, we treat genetically engineered mouse models of KrasG12C-driven lung cancer with sotorasib, a KRASG12C inhibitor, until the emergence of drug resistance. The initial response to sotorasib was rapid, but incomplete. Residual tumor burden transcriptionally resembled the alveolar type II cell, phenocopying residual disease signatures identified in patients treated with EGFR inhibitors. After continued sotorasib treatment, we observed diverse mechanisms of drug resistance in vivo, including genetic MAPK reactivation and lineage transformation from adenocarcinoma to squamous histology. Focusing mechanistic studies on squamous transformation, we showed that expression of the basal transcription factor ∆Np63 is sufficient to rewire transformed alveolar organoids to a squamous state in vitro, conferring insensitivity to KRAS inhibition. In vivo, either ectopic expression of Sox2 or loss of Nkx2-1, which are tolerated during Kras-driven tumorigenesis, poised tumors for squamous lineage commitment upon KRAS inhibition. Squamous- transformed tumors did not exhibit evidence of KRAS/MAPK reactivation, underscoring the role for lineage transcription factors and histologic transformation in mediating oncogene independence.
GSE319747	Lineage identity governs oncogene dependence in murine NSCLC models of KRAS inhibitor resistance	Mus musculus		41			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	This SuperSeries is composed of the SubSeries listed below.
GSE323351	Single-cell RNA-sequencing of Immortalized Alveolar type 2 Cell Lines from Healthy Lungs	Homo sapiens		4			Tacstd2 AND lung	Using the 10x Genomics platform, we conducted single-cell RNA sequencing to profile our newly immortalized alveolar type 2 (AT2) cell lines. Since primary human AT2 cells are notoriously difficult to propagate long-term, passage repeatedly, and modify genetically, we developed several stable, immortalized lines derived from healthy AT2 cells.
GSE325698	The chromatin remodeling complex PRC2 safeguards cell fate in alveolar epithelial type 2 cells	Mus musculus		6			Tacstd2 AND lung	Maintenance of the gas exchange surface throughout life and regeneration of the lung after injury requires tight regulation of epithelial cell fate and function. Alveolar epithelial type 2 (AT2) cells serve as the progenitors of the distal epithelium, differentiating into alveolar epithelial type 1 (AT1) cells or proliferating to maintain the quorum of AT2 cells. Here we describe the role of the chromatin regulator polycomb repressive complex 2 (PRC2) in the maintenance of AT2 cell fate in the adult alveolus. Cross-species single-cell transcriptomic analyses identified PRC2 activation in proliferative AT2 populations. PRC2 loss of function in human iPSC-derived AT2 (iAT2) cells and primary murine AT2 cells in vitro resulted in loss of AT2 cell state and emergence of programs reminiscent of alveolar-basal intermediate (ABI) cell states, while overexpression of the PRC2 enzymatic component EZH2 in human iAT2 cells augmented the AT2 cell program. Genetic loss of PRC2 function in the AT2 lineage in adult mice in vivo led to emphysematous remodeling of the lung and induced a time-dependent series of transitions of AT2 cells through an ABI state into Krt5+ basal-like cells. Comparison of murine ABI cells to human ABI cells demonstrates de-repression of canonical PRC2 targets during transition to ABI and basal-like states in humans, implicating PRC2 as a conserved regulator of AT2 cell fate. Together, these findings define PRC2 complex function during AT2 cell self-renewal as a critical guardrail for maintaining epithelial cell fate in the adult lung.
GSE330206	Effects of NTHi on lung epithelial regeneration mechanisms in mouse-derived air-liquid interface cultures	Mus musculus		23			Tacstd2 AND lung	Bulk RNA sequencing was performed in mouse-derived EpCAM-positive lung epithelial cells cultured at air-liquid interface to assess NTHi-associated transcriptional changes during lung epithelial regeneration.
GSE330548	Multi-Omics Integration Identifies Critical Molecular Drivers and Alternative Splicing Events in Small Cell Lung Cancer II	Mus musculus		6			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	Small cell lung cancer (SCLC) remains a highly aggressive malignancy and a therapeutic challenge in clinical oncology. Here, we conducted an integrated multi-omics analysis of treatment-naïve human SCLC tissues along with paired adjacent tissues (NAT, n = 12), including transcriptomic, proteomic, phosphoproteomic, and glycoproteomic profiling to identify novel prognostic markers and therapeutic targets. Integration of these datasets revealed significant enrichment of RNA splicing pathway in SCLC. We systematically characterized aberrant alternative splicing events (AASEs), identifying 6,972 events with exon skipping representing the most prevalent type. These AASEs were regulated by RNA-binding proteins and predominantly enriched in pathways related to tumor proliferation and metastasis. We further identified four splicing-related proteins (THOC1, MAGOHB, RBM8A, and TXNL4A) that were markedly overexpressed in SCLC, correlated with proliferation, and predicted poor prognosis. Functional validation showed that THOC1 knockdown suppressed tumor growth in vivo, potentially through enhanced anti-tumor immunity. Additionally, we present the first N-glycoproteomic atlas of SCLC implicating glycosylated CEACAM proteins as potential biomarkers and revealing aberrantly glycosylated sites and proteins associated with SCLC. Our study unveils novel molecular features underlying SCLC pathogenesis and provides insights for developing therapeutic strategies targeting RNA splicing and protein glycosylation.
GSE334916	Antagonistic roles of histone 3 lysine methyltransferases dictate tumor immune surveillance	Mus musculus		20			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	Histone H3 lysine 36 (H3K36) methyltransferases are recurrently altered in cancer, but how distinct H3K36 methylation states influence tumorigenesis remains incompletely understood. Using KRAS-driven lung cancer models, we show that NSD2, SETD2, and EZH2 form an epigenetic circuit that regulates endogenous retroviral elements (ERVs) and tumor immune surveillance. Although SETD2 is a potent tumor suppressor in KRAS-driven lung adenocarcinoma, expression of the H3K36M oncohistone, which broadly inhibits H3K36 methylation, does not phenocopy Setd2 loss. Instead, H3K36M expression suppresses tumor growth by reducing H3K36me2, derepressing ERV transcripts, inducing cytoplasmic dsRNA, and activating RIG-I/MDA5-dependent antiviral-like immune clearance. Genetic inactivation of histone dimethyltransferase Nsd2 phenocopies H3K36M expression, nominating H3K36me2 loss as a trigger of this viral-mimicry response. In Setd2-deficient contexts, EZH2-dependent H3K27me3 restores ERV repression, prevents dsRNA accumulation, and permits immune escape. Pharmacologic inhibition of NSD2 induces dsRNA in human lung adenocarcinoma cells, whereas concurrent SETD2 inhibition blunts this response while additional EZH2 inhibition restores it. These findings define opposing roles for NSD2- and SETD2-dependent H3K36 methylation in lung tumor immunity and reveal an NSD2–SETD2–EZH2 axis that can be targeted to modulate viral mimicry and immune surveillance in cancer.
