accession	n_samples	ici_any	ici_in_sample_metadata	models	llc_only	in_vivo	strategies	gds_summary_type	suppfile	pubmed	series_title	design
GSE292089	6	True	False		False	False	RNA-Seq			40836096	Cancer-induced nerve injury promotes resistance to anti-PD-1 therapy [RNA-seq]	Bulk RNA sequencing of lung metastasis–innervating neurons was performed following intravenous injection of 5 × 105 B16F10-eGFP melanoma cells or vehicle into nociceptor neuron reporter mice (Trpv1Cre::Td-tomatofl/wt). Two weeks later, the mice were euthanized, and lung metastases were visually confirmed in the B16F10-eGFP-inoculated group. Jugular nodose ganglia (JNC) were dissected into ice-cold
GSE292405	16	True	False	LLC	True	True	RNA-Seq				Microwave-Induced Tumor-Derived Microparticles Treat Lung Adenocarcinoma by Inducing Immunogenic Cell Death via HMGB1 Shuttling [RNA-Seq]	LLC cells stimulated with UV or MW for 24 hours were collected.
GSE292712	27	False	False	KP_kras_p53	False	False	RNA-Seq			41105672	Fibroblast STAT3 activation drives organ-specific premetastatic niche formation	We harvest the right lung and pancreas from iKRAS mice on doxycycline for 16 weeks at which point they have precursor lesions in the pancreas, but no tumor. We also harvested the right lung and bone marrow from iKRAS;p53 mice on doxycycline for 20 weeks a which point all mice had primary pancreatic cancer. Mice were split into groups based on the prescence or absence of lung metastases. Additional
GSE292908	8	True	False		False	True	RNA-Seq			41484081	Anti-CSF-1R therapy with combined immuno- chemotherapy coordinate an adaptive immune response to eliminate macrophage enriched Triple Negative Breast Cancers	All mice received the final doses 24h prior to euthanasia. Single cell suspensions were processed as previously described and pooled from 3 mice per treatment. Only viable cells were used for single cell analysis as such, isolated single cell suspensions were first stained with Ghost Dye UV 450 (Tonbo Biosciences, 13-0868) for 10 min and sorted via FACS to isolate viable cells. Briefly, primary tu
GSE293054	10	False	False		False	True	RNA-Seq				Innate Lymphoid Cells Integrate Sensing and Plasticity to Control Fungal Infections [whole lung tissue after ILC transfer_Afu infected]	Bulk RNAseq of whole lung tissue samples from infected Rag2-/-Il2rg-/- mice to investigate the impact of transferred ILCs on Aspergillosis outcome. Outcome of Aspergillus infection was compared between wild type ILC-receiving mice (+wt ILCs), Tec-kinase deficient ILC receiving mice (+Tec-/- -ILCs) and mice not receiving transfer (no transfer controls). Pulmonary ILC subsets were MACS-enriched (lin
GSE293220	7	False	False		False	True	RNA-Seq				Innate Lymphoid Cells Integrate Sensing and Plasticity to Control Fungal Infections [ILC Sequencing]	Smart-Seq2 (bulk RNAseq) analysis of sorted CD90+lin- pulmonary ILC subsets derived from Aspergillus fumigatus (ATCC204305) infected mice (3*10^7 spores/mouse) or corresponding controls. ILCs of isolated mice were compared to control mice (mock infected, saline). Each sample corresponds to pooled biological replicates (n=3-4/sample); Cells were then stained for CD45 expression, lineage markers to 
GSE293596	3	False	False	EGFR,SCLC_GEMM	False	True	RNA-Seq				The Polycomb Protein EED Constrains the SCLC Neuroendocrine Phenotype and Drives Lung Cancer Histological Transformation [snRNA-seq]	single nuclei RNA-seq profiling of three EED-Mutant RPR2 GEMM tumors.
GSE293597	6	False	False	EGFR,SCLC_GEMM	False	True	RNA-Seq				The Polycomb Protein EED Constrains the SCLC Neuroendocrine Phenotype and Drives Lung Cancer Histological Transformation [scRNA-seq]	single cell RNA-seq profiling of EED-Mutant RPR2 GEMM tumors.
GSE293599	50	False	False	EGFR,SCLC_GEMM	False	True	RNA-Seq				The Polycomb Protein EED Constrains the SCLC Neuroendocrine Phenotype and Drives Lung Cancer Histological Transformation [Bulk RNA-seq]	RNA-seq profiling of 1. EED-WT and EED-Mutant tumors from genetically engineered mouse model with deletion of Rb1, Trp53, and Rbl2. 2. SCLC cell line derived from RPR2 genetically engineered mouse model and genetic inactivation of EED with two sgRNA and non-targeting control using CRISPR-Cas9. 3. EED-Mutant RPR2 LUAD cell lines 1339 and 1344 overexpressing WT EED or inactive EED. 4. EGFR-Mutant LU
GSE293808	9	True	False		False	True	RNA-Seq				synNotch CAR-Macrophages promote persistent antitumour activity through enhanced adaptive immunity	RNA-seq profiling of lung tumour tissues after treatment with PBS or syN-CAR-exo.
GSE294051	321	False	False		False	True	ATAC-seq,ChIP-Seq,OTHER,RNA-Seq				SWI/SNF Remodeling Complexes Regulate 3D Chromatin Architecture by Antagonizing CTCF and Cohesin	CtcfHet GC cells from splenocytes were sorted and underwent the manufacturer's nuclei preparation procedure. Then, about 20,000 nuclei were placed into a 10x Chromium X instrument. The remainder of the library preparation steps were conducted in accordance with the manufacturer's protocol Micro-C was performed in RIVA cells using two ARID1A wild-type (WT) clones and two ARID1A heterozygous (HET) c
GSE294184	1	False	False		False	True	RNA-Seq			41443194	Virus-specific effector T cells impair airway secretory cell-mediated alveolar regeneration	Airway epithelial cells (CD45- EPCAM+ CD31- Integrin β4+) from the lungs of influenza-infected mice at 11 days post-infection (dpi) were isolated using FACS. These cells were then cultured in1:1 mixed SAGM and LPM medium without CHIR medium for 10 days before being digested into single cells for scRNA-seq analysis.
GSE294262	2	False	False	KP_kras_p53	False	True	RNA-Seq				TAT-CRE inhalation enables tumor induction corresponding to adenoviral Cre-recombinase in a lung cancer mouse model	Lung tumors of genetically male B6.129-Krastm4Tyj Trp53tm1Brn/J mice were induced by Cre-recombinase inhalation. Two Cre-constructs were compared: TAT-CRE and adenoviral CRE (AD-CRE).
GSE294316	6	False	False		False	False	RNA-Seq			40898617	alpha tocopherol ameliorates allergic airway inflammation by regulating ilc2 ferroptosis in an lkb1-dependent manner_Aalter vs VE	this study identifies alpha tocopherol, a vitamin e component, as a significant modulator of allergic airway inflammation.
GSE294318	6	False	False		False	False	RNA-Seq			40898617	Alpha tocopherol ameliorates allergic airway inflammation by regulating ilc2 ferroptosis in an lkb1-dependent manner_Aa-cko VS Aa-flox	this study identifies alpha tocopherol, a vitamin e component, as a significant modulator of allergic airway inflammation.
GSE294355	36	True	False	LLC	True	False	RNA-Seq			41912776	Dual function of DOT1L suppresses tumor intrinsic immunogenicity in Hepatocellular carcinoma [RNA-seq]	To investigate the function of DOT1L in regulating gene expression, we established DOT1L KO cell lines and performed RNA-seq experiments.
GSE294490	2	True	False		False	True	RNA-Seq				synNotch CAR-Macrophages promote persistent antitumour activity through enhanced adaptive immunity [scRNA-Seq]	RNA-seq profiling of lung tumour tissues after treatment with PBS or syN-CAR-exo.
GSE294492	4	True	False		False	False	RNA-Seq				Long-range Deployment of Tumor-antigen Specific Cytotoxic T Lymphocytes Inhibits Lung Metastasis of Breast Cancer	To identify the components of immune microenvironment of pre-metastatic lungs, 20,000 CD45+ leukocytes were isolated by magnetic-activated cell sorting (MACS) from paired murine lung samples at day 28 post-inoculation.
GSE29533	16	False	False	SCLC_GEMM	False	False				21764851	Nuclear Factor I/B is an Oncogene in Small Cell Lung Cancer	Gene expression analysis of two replicates each of two independent mSCLC cell lines (3583T3 and 3151T4) stably expressing Nfib, Mycl1 or both Nfib and Mycl1
GSE295345	2	False	False		False	False	RNA-Seq				BRD4 promotes endodermal cell fate during mammalian lung development	Approximately 16500 EPCAM+ cells were sorted by FACS from the lungs of multiple Shh-Cre/+, Brd4-fl/+ (HET control) or Shh-Cre/+, Brd4-fl/fl (KO) mice sacrificed at E17.5 and loaded into independent lanes of a 10X Chromium GEX 3’ v3 microfluidics chip for 3’-biased scRNA-seq in order to compare Brd4 HET vs. Brd4 KO in the Shh+ lung epithelium.
GSE295452	2	False	False	KP_kras_p53	False	True	RNA-Seq			40825871	Tracing the evolution of single-cell 3D genomes in Kras-driven cancers [snRNA-seq]	We have employed a single nucleus sequencing approach in a mouse lung cancer model to explore transcriptional differences between adenoma and adenocarcima cells in vivo.
GSE295598	4	False	False		False	False	RNA-Seq			41980941	Time-Course RNA Sequencing of Alveolar Type 2 Cells Following Influenza Infection	Alveolar type 2 cells (CD45- EPCAM+ CD31- Integrin β4-) were isolated from the lungs of influenza-infected mice at 0, 2, 6, and 11 days post-infection (dpi) using fluorescence-activated cell sorting (FACS). Subsequently, RNA was extracted from these cells for RNA sequencing.
GSE295685	4	True	False	KL_kras_lkb1,SCLC_GEMM	False	True	RNA-Seq				TNG260, a novel small-molecule CoREST inhibitor, sensitizes STK11-mutant tumors to anti-PD-1 immunotherapy	Bulk RNA sequencing profiling of STK11-null mouse KL cells treated with CoREST inhinbitor TNG260 and untreated control KL cells
GSE295739	8	False	False		False	False	RNA-Seq			42096291	The NAMPT/SIRT7/SOD2 axis regulates alveolar progenitor cell renewal and pulmonary fibrosis [scRNA-seq]	To study the function of Nampt in mouse AT2 cells, we isolated individual cells (CD45/31/34-EPCAM+ and CD45+ mixed cells) from Nampt AT2 conditional knockout and control mice at day 0 and day 4 after post bleomycin injury (2.5 U/kg). Then performed single cell analysis using the 10x Genomics Chromium platform.
GSE296513	45	False	False		False	True	RNA-Seq			40591409	Impaired AMPK Control of Alveolar Epithelial Cell Metabolism Promotes Pulmonary Fibrosis	This data set is composed of samples from four different experiments. The scRNA samples are derived from SftpcI73T mice 28 days post tamoxifen induction and dosed via intraperitoneal injections with either Metformin or vehicle beginning at day 12 post tamoxifen induction. Single cell suspension from whole lungs were CD45 and CD31 depeleted prior to library generation. There is also an RNA-seq data
GSE296553	12	False	False		False	True	RNA-Seq			40872776	Attenuation of the M gene in Vesicular Stomatitis Virus Vector	Comparative gene expression analysis and enrichment analysis of 6 weeks-8 weeks female mouse muscle RNA-seq data under type I interferon response at 12h
GSE296920	8	False	False		False	False	OTHER,RNA-Seq				scRNA-seq of lung cells sorted from the acute 3X IT bleomycin induced fibrosis mouse model	Comparative gene expression profiling analysis of scRNA-seq data for FACS sorted PDPN+, CD31+, CD45+ and EpCAM+ cells at day 24 following bleomycin administration.
GSE297097	261	True	True		False	True	OTHER,RNA-Seq			39705335,40751448,41468295,41417899,41676686,42061400	The ImmgenT Open-Source project	The immgen T OpenSource Project is a collaborative effort involving 100 participants across 41 laboratories, working together to create the most comprehensive atlas of T cells in the mouse immune system. Leveraging a common data generation pipeline, the goal is to profile T cells in every body location, capturing their diverse states in response to a broad range of immunological challenges and phy
GSE297298	18	False	False		False	True	RNA-Seq			37310520	Single-cell RNA-sequencing identifies anti-cancer immune phenotypes in the early lung metastatic niche during breast cancer	Lungs, spleens, and biomaterial scaffold implants were isolated from both time-matched healthy, and 4T1-tumor bearing mice receiving throughout the normal course of metastatic progression - 7, 14, and 21 days post 4T1-inoculation. Lungs, spleens, and scaffolds were processed into a single cell suspension and analyzed by scRNAseq following standard DropSeq protocols.
GSE297387	24	False	False		False	False	OTHER,RNA-Seq				Nanoengineered STING Mucosal Adjuvant Activates Coordinated Mucosal-Systemic Immunity for Durable Cross-Protective Defense	Single-cell RNA sequencing was performed at two critical timepoints: 24 hours post-primary immunization and 7 days post-secondary immunization. Female BALB/c mice (6-8 weeks old) received either SSM2-only or SSM2 adjuvanted with NanoCF501 using the established immunization protocol. Pulmonary tissues were harvested and mechanically dissociated to prepare single-cell suspensions and analyzed using 
GSE297392	12	False	False		False	False	RNA-Seq				Lung environment in healthy old age shapes the phenotype and CCR2-mediated recruitment of a subset of apoptotic, high-turnover alveolar macrophages	Alveolar macrophages (AMs) were isolated from both 10 young and 10 old mice. Cells were then stained and sorted by sorted into CD11c+ CD11b- populations from young and old mice, and CD11c- CD11b+ and CD11c+ CD11b+ populations from old mice using the BD FACSAria II flow cytometer flow cytometry using BV421 anti-CD11b (clone M1/70) and PE anti-CD11c (clone N418) antibodies. The post-sorted cells wer
GSE297632	2	True	True	LLC	True	True	RNA-Seq			41194504	Single-cell RNA sequencing data of anti-PD-1 antibody tolerant LLC cells	LLC cells surviving 7 days after treatment with anti-PD-1 antibody (PD-1 treatment) and control LLC cells without treatment (Control) were collected and analyzed using scRNA-seq.
GSE297708	11	False	False		False	False	RNA-Seq			40972009	Lung microenvironment effects on T cells following Francisella tularensis vaccination	To generate immune animals, mice were intranasally inoculated with 1x105 CFU Bp or 150 CFU of LVS in 25 µL PBS delivered to a single nare after anesthetizing with ketamine/xylazine. Where indicated, mice were intranasally challenged with 1x106 CFU Bp or 25 CFU of Ftt in 25 µL PBS to a single nare after being anesthetized with ketamine/xylazine. Single cell suspensions were generated by mincing and
GSE297817	15	True	False	SCLC_GEMM	False	True	RNA-Seq				Dasatinib Remodels the Tumor Microenvironment and Sensitizes Small Cell Lung Cancer to Immunotherapy [DASAITC]	Murine RP (Rb1/Tp53 KO) cells were subcutaneously injected in one flank of 8-week-old female F1 mice (resulting from C57Bl/6j x 129S1/Sv cross). When tumor volume reached approximately 50 mm3, mice were randomized and treated with: Dasatinib (Dasa) at 30 mg/kg daily, anti-PD-1+anti-CTLA4 (100 microg/mouse for each antibody), or the combination Dasa+anti-PD-1+anti-CTLA4 (Dasa+ITc). Control animals 
GSE297818	6	True	False	SCLC_GEMM	False	True	RNA-Seq				Dasatinib Remodels the Tumor Microenvironment and Sensitizes Small Cell Lung Cancer to Immunotherapy [PD1CTLA4]	Murine RP (Rb1/Tp53 KO) cells were subcutaneously injected in one flank of 8-week-old female F1 mice (resulting from C57Bl/6j x 129S1/Sv cross). When tumor volume reached approximately 50 mm3, mice were randomized and treated with the following drug combination: Dasatinib (Dasa) at 30 mg/kg daily+anti-PD-1+anti-CTLA4 (100 microg/mouse for each antibody). Control animals were treated with vehicle.
GSE297819	21	True	False	SCLC_GEMM	False	True	RNA-Seq				Dasatinib Remodels the Tumor Microenvironment and Sensitizes Small Cell Lung Cancer to Immunotherapy	Refer to individual Series
GSE297825	4	False	False		False	False	RNA-Seq				Th1 effector cells and macrophages facilitate respiratory IgA after mucosal vaccination	For library preparation, BAL cells or sorted BAL CD4+ T cells from immunized mice in each group were pooled together and each group was hashtagged using BioLegend TotalSeq™-A antibodies according to the provided protocol. The library of hashtagged pooled groups was then constructed using the 10x Genomics Chromium Next GEM Single Cell 3’ Reagent Kit with the v3.1 (Dual Index) protocol. Sequencing w
GSE298562	3	True	False	SCLC_GEMM	False	False	RNA-Seq			41685152	Multifunctional exosomes inhibiting autophagy ameliorate immune tolerance in non-small cell lung cancer	Single-cell sequencing analysis of immune cells in mouse non-small cell lung cancer after drug treatment.
GSE298731	12	False	False		False	False	RNA-Seq				Th1 effector cells and macrophages facilitate respiratory IgA after mucosal vaccination	After mRNA-S plus Ad5-S immunization, CD4+ T cells in the BAL, lung parenchyma, and draining lymph nodes in IL-21-VFP reporter mice were enriched with negative selection by using biotin-labeled CD8a, TER-119, and B220 antibody and streptavidin magnetic beads (Miltenyi Biotec) before surface markers staining. Live CD4+CD44+VFP+ and CD4+CD44+VFP- cells were sorted by Sony MA900 Cell Sorter and then 
GSE298984	2	True	False		False	True	RNA-Seq			40822347	Immature monocytic cells within tumors differentiate into immunosuppressive cells in resistant tumors to immunotherapy	To investigate tumors responsive and resistant to immunotherapy, we used an experimental model of the 4T1 cell line, a triple negative breast carcinoma known for its resistance to immune checkpoint inhibitor (ICI) therapy. We exposed 4T1 cells to 1-methyl-3-nitro-1-nitrosoguanidine (MNNG) and generated polyclonal cells that would respond to anti-PD1 (referred to as 4T1m) as opposed to the resistan
GSE299078	4	False	False		False	True	RNA-Seq			40601834	Regulatory T cells poise the myeloid landscape after chemotherapy in lung tumors	Four sorted tumor samples, each pooled from three mice with multifocal lung tumors, were analyzed: untreated (NT), chemotherapy-treated (CP), chemotherapy plus anti-TNFR2-treated (CP_aTNFRII) and local irradiation (IR). The samples include T lymphocyte and myeloid cell populations, analyzed using scRNA-seq.
GSE299133	18	True	False		False	False	RNA-Seq				Host MTDH orchestrates liver lipid metabolism and CD8+ T cells to suppress antitumor immunity [Hepatocytes]	Hepatocytes from age-matched WT and MTDH KO mice were collected. After treatment with TNFa, TGFb, or Kupffer cells conditioned media treated with Py8119-EVPs, total RNA were extracted and processed to RNA sequencing. Three biological replicates of each group were collected.
GSE299506	15	True	False	LLC	True	True	RNA-Seq				Combination with oxaliplatin improves abscopal effect of oncolytic virotherapy through reorganization of intratumoral macrophages	RNA-seq profiling of oxaliplatin and recombinant vaccinia virus carrying IL-7 and IL-12 treated LLC tumor
GSE299507	30	True	False	LLC	True	True	RNA-Seq				Combination with oxaliplatin improves abscopal effect of oncolytic virotherapy through reorganization of intratumoral macrophages II	RNA-seq profiling of oxaliplatin and recombinant vaccinia virus carrying IL-7 and IL-12 treated LLC tumor (distant tumor) on three and seven days after each treatment.
GSE299508	12	True	False	LLC	True	True	RNA-Seq				Combination with oxaliplatin improves abscopal effect of oncolytic virotherapy through reorganization of intratumoral macrophages III	RNA-seq profiling of oxaliplatin and recombinant vaccinia virus carrying IL-7 and IL-12 treated LLC tumor in NOD SCID mice on three days after each treatment.
GSE299510	4	True	False	LLC	True	True	RNA-Seq				Combination with oxaliplatin improves abscopal effect of oncolytic virotherapy through reorganization of intratumoral macrophages [scRNA-seq]	scRNA-seq profiling of oxaliplatin and recombinant vaccinia virus carrying IL-7 and IL-12 treated LLC tumor (distant tumor) on seven days after each treatment.
GSE299683	125	True	False	SCLC_GEMM	False	True	RNA-Seq			40890155	Longitudinal liquid biopsy identifies an early predictive biomarker of immune checkpoint blockade response in head and neck squamous cell carcinoma [scRNA-seq]	We employed our previously characterized 4MOSC carcinogen-induced orthotopic HNSCC preclinical model to evaluate immune dynamics during ICB therapy. Two cohorts of mice were used, with one cohort comprising 45 mice for bulk RNA sequencing (RNA-seq) and the other comprising 16 mice for single-cell RNA sequencing (scRNA-seq) and single-cell TCR sequencing. Lesions developed consistently at expected 
GSE299686	178	True	True	SCLC_GEMM	False	True	RNA-Seq			40890155	Longitudinal liquid biopsy identifies an early predictive biomarker of immune checkpoint blockade response in head and neck squamous cell carcinoma [bulk RNA-seq]	We employed our previously characterized 4MOSC carcinogen-induced orthotopic HNSCC preclinical model to evaluate immune dynamics during ICB therapy. Two cohorts of mice were used, with one cohort comprising 45 mice for bulk RNA sequencing (RNA-seq) and the other comprising 16 mice for single-cell RNA sequencing (scRNA-seq) and single-cell TCR sequencing. Lesions developed consistently at expected 
GSE300288	31	True	True		False	True	RNA-Seq			41202811	Single-cell and spatial transcriptomics analysis of tobacco-associated lung adenocarcinoma development, and in response to targeting inflammation alone or in combination with immune checkpoint blockad	Gene expression profiling by high throughput single-cell sequencing and spatial transcriptomics
GSE300387	20	False	False		False	False	RNA-Seq				Intranasal mixed regimen with dNS1-based virus and STFKB vaccine could induce both system and mucosal humoral immunity	Mice were intranasally immunized in four groups: (1) dNS1-based live-attenuated virus alone, (2) STFKB subunit vaccine alone, (3) a mixture of dNS1-virus and STFKB vaccine, and (4) a negative control (vehicle). At defined post-immunization timepoints, Single-cell suspensions were prepared from lung tissues and subjected to single-cell RNA sequencing (scRNA-seq) to comprehensively profile the globa
GSE300736	10	False	False		False	True	RNA-Seq			41501915	Transcriptional levels of immune activation genes were altered in the tumor post circRNACRT-E7E6 treatment	C57BL/6 mice were subcutaneously inoculated with 2.5×10^⁵ TC-1 tumor cells. Twelve days post-inoculation, when average tumor volume reached approximately 100 mm³, mice were randomized into two groups (n=5 per group). The negative control group received intramuscular (IM) injections of empty LNP on Days 0, 3, and 7. The experimental group received IM injections of circRNACRT-E7E6 (2 µg) on the same
GSE300819	6	False	False		False	False	RNA-Seq			40884499	Single-cell RNA-seq analysis of cervical lymph nodes from mice intradermally infected with Mycobacterium tuberculosis	Mice were left untreated or inoculated with Mtb (strain H37Rv) to establish contained Mtb infection. 8 weeks later, the cervical lymph nodes were harvested and analyzed by single-cell RNA-seq.
GSE300862	2	False	False	KP_kras_p53	False	True	RNA-Seq			41296563	Protein Kinase Cι dictates tumor trajectory, cell state plasticity and immune surveillance in lung adenocarcinoma	Individual tumors were microdissected from ~30-week KP (KrasG12D/Trp53fl/fl) and ~40-week KPI (KrasG12D/Trp53fl/fl/Prkcifl/fl) animals (n = 5 tumors/animal; 2 animals/genotype). After removal of endothelial cells, red blood cells, and dead cells, scRNA-seq was performed on tumor samples containing both cancer and immune cells.
GSE301349	12	False	False	LLC	True	True	RNA-Seq			41367565	From subcutaneous to orthotopic: Bridging the gap to human disease in lung cancer research [mouse]	RNA-seq profiling of LLC parental cells, circulating tumor cells isolated from circulation in murine models, and their metastasic sublines from brain and bone.
GSE301724	6	False	False		False	True	RNA-Seq			40836089	Thymic epithelia amplify noise in chromatin accessibility via p53 repression to impose immune tolerance [P53-WT-cKO_BulkRNA]	Thymic epithelial cells were isolated using a previously published protocol (Kim &amp; Serwold, Methods in Molecular Biology, 2019) with minor modifications. Briefly, thymi from 4-5 week-old mice were harvested and connective tissue was removed. Stromal tissue was perforated using scissors and incubated with rotation in DMEM-F12 (Sigma D6421) at room temperature for for 10min to liberate thymocyte
GSE302275	11	True	True		False	True	RNA-Seq			40710201	Treatment-Induced Gene Expression Changes in Metastatic Renal Cell Carcinoma: Insights from a Syngeneic Mouse Model	This submission includes RNA sequencing data from lung metastases of a syngeneic mouse metastatic renal cell carcinoma model. RENCA cells were orthotopically implanted into BALB/c mice. Experimental groups include untreated controls and treatment groups receiving cabozantinib, anti-PD-1 antibody, or their combination as first-line therapy. Second-line treatment groups include axitinib, everolimus,
GSE302345	4	False	False	KP_kras_p53	False	True	RNA-Seq			40997327	Differential gene expression analysis of Kat7 inhibitor-treated versus control-treated lung adenocarcinoma cells [bulk RNA-seq]	Murine KrasG12D; p53-/- lung adenocarcinoma cells were cultured in 6-well plates in DMEM supplemented with 10% FBS and 1% Pen/Strep. The cells were treated with either 1 µM WM3835 or 0.02% DMSO (vehicle control) for 5 consecutive days. Each technical replicate is a from an separate well. Total RNA was extracted for bulk RNA-sequencing.
GSE302346	6	False	False		False	True	RNA-Seq			40997327	Differential gene expression analysis upon Kat7 deletion in mouse lung AT2 cells [bulk RNA-seq]	R26LSL-tdTomato; H11LSL-Cas9; Kat7f/f and R26LSL-tdTomato; H11LSL-Cas9 mice were intratrachially transduced with SPC-Cre adenovirus. TdTomato+ cells were FACS isolated from the transduced lungs after 4 days, and used for bulk RNA-seq.
GSE302362	6	False	False		False	True	RNA-Seq				Induction of antigen-presenting monocyte-derived dendritic cells by nanoparticles inhibits metastasis and relieves immunosuppression in the metastatic niche	Lungs were isolated from female BALB/c 4T1-tumor bearing mice at D14 post-inoculation (inoculated with 50 uL of 2e6 4T1 cells/mL). Mice were treated with saline (control) or 1mg of NPs every three days starting at D1 post-inocluation (D1, 4, 7, 10, 13 NP treatments). Cells were then prepared for flow-assisted cell sorting by staining with AF488-CD45 and sorted into CD45+NP+, CD45+NP-, and CD45- po
GSE302373	10	True	False		False	True	RNA-Seq				Nociceptive innervation limits tertiary lymphoid structures to promote lung cancer	Naïve/LUAD/LUAD-denervated mouse lungs were digested and enriched for the CD45+ population using FACS (Fluorescence-activated cell sorting). These samples were then analysed by single-cell RNA-seq. Naïve/LUAD lungs from Scn10a-Cre; Rpl22-HA mice were processed to analyse transcriptomic differences of the axon terminals of Scn10a+ neurons upon tumour formation.
GSE302412	7	False	False	EGFR	False	True	RNA-Seq				Mutant RIT1 cooperates with YAP to drive an EMT-like lung cancer state	Data provided is single cell RNA-sequencing generated from 10X Chromium NextGEM 3' and Illumina sequencing. Samples include primary lung tissue specimens from RIT1 M90I/Nf2fl/fl/p53fl/fl mice including (1) tumor cells and (2) cells from adjacent normal lung. Also included are cells from a tumor-derived cell line derived from a tumor of a mouse of the same genotype (3). All cells were from the SPC-
GSE302517	2	True	False	LLC	True	True	RNA-Seq				The IFN-I-DUSP2-NFAT axis Limits Tumor Remodeling and Immunotherapy Response in Lung Cancer	Study of tumor infiltration lymphocytes from LLC-bearing tumors in WT and Dusp2−/− mice using 10x scRNA-seq technologies.
GSE302656	10	True	False	SCLC_GEMM	False	True	RNA-Seq			40857107	Glucagon-like peptide-1 receptor agonism is associated with improved lung cancer outcomes and tumor growth control	RNA sequencing was performed on excised, subcutaneous KPN1.1 tumors from obese mice treated with GLP-1RA. At the time of mouse tumor harvest, a fragment was flash frozen and was later used for RNA isolation using the miRNeasy mini kit (Qiagen). The sequencing libraries were prepared with the RNA HyperPrep Kit with RiboErase (HMR) kit (Roche Sequencing Solutions), from 500ng total RNA. Following th
GSE303021	13	False	False		False	False	RNA-Seq			41997918	Hdac11 promotes idiopathic pulmonary fibrosis through macrophage M2-type polarization and myofibroblast differentiation by inhibiting Parkin-dependent mitophagy	Alveolar macrophages (AMs) from C57BL/6 mice were stimulated with IL‑33 (10 ng/mL) at 0, 3, 6, 12, 24, 48, 72, and 96 h — with three biological replicates at 0 and 24 h and one replicate at each other time point. In parallel, lung-derived primary fibroblasts were treated with TGF‑β1 (10 ng/mL) for 24 h. Transcriptomic profiles for all samples were generated via Illumina RNA‑seq.
GSE303043	30	False	False	SCLC_GEMM	False	True	RNA-Seq			42006373	UHRF1 drives subtype-independent aggressiveness and immune evasion in small cell lung cancer through GATA2-ST6GALNAC5 and PRC2 interactions	Gene expression profiling analysis of RNA-seq data from 1) NCI-H526 VC and UHRF1 KO 5-week orthotopic xenograft tumors in NSG mice, 2) NCI-H446 VC and UHRF1 KO 5-week orthotopic xenograft tumors in NSG mice, 3) mouse SCLC tumors from genetically engineered mouse models Tp53/Rb1 DKO (TR DKO) and Tp53/Rb1/Uhrf1 TKO (TRU TKO).
GSE303089	11	True	False	LLC	True	True	RNA-Seq				A pan-immunotherapy signature to predict intratumoral CD8+ T cell expansions [bulkRNAseq]	Lewis lung carcinoma (LLC) cells (5 × 10^5 cells /mouse) were inoculated subcutaneously (s.c.) into the left flank and right flank of C57BL/6 mice (untreated : n=5, aLAG3 : n=6). Tumors were excised on day 14 and day 21. T cells obtained from each tumor were analyzed by bulk RNA-sequencing. For treatment, anti-LAG-3 (clone C9B7W, BioLegend or Selleck) was injected intraperitoneally at a dose of 20
GSE303155	24	True	False		False	False	RNA-Seq			40661534	Cancer systems immunology reveals myeloid—T cell interactions and B cell activation mediate response to checkpoint inhibition in metastatic breast cancer	Lung metastases from NeuN mice (NT2.5-LM) under six different treatment conditions (V, E, EP, EC, EPC, PC) were dissected. Tumor microenvironment samples were analyzed using scRNA-seq. V: vehicle condition E: HDAC inhibitor (entinostat) only EP: entinostat and anti-PD-1 (nivolumab) EC: entinostat and anti-CTLA-4 (ipilimumab) EPC: entinostat and anti-PD-1 and anti-CTLA-4 PC: anti-PD-1 and anti-CTLA
GSE303165	1	False	False	LLC	True	True	RNA-Seq				A novel CAF population coordinates hyper-suppressive regulatory T cell recruitment and localization in lung cancer [scRNA-seq_PDGFRa+ fibroblasts)	C57B6/JN mice (n=3) were intravenously injected with 1.5e5 LLC-GFP cells. After 17 days, lungs of mice were harvested. Tumor tissue and normal-adjacent lung tissue were seperated utilizing microdissection techniques and each tissue was labeled using seperate hashtag oligos (HTOs; (n=6)). Usting magnetic bead negative enrichment and single cell sorting techniques, we isolated live GFP-CD45- CD31-, 
GSE303166	10	False	False	LLC	True	True	OTHER,RNA-Seq				A novel CAF population coordinates hyper-suppressive regulatory T cell recruitment and localization in lung cancer	Refer to individual Series
GSE303224	32	True	True	344SQ_line	False	False	RNA-Seq				Temporal mapping of the anti-tumor effects of nanobody-based MSLN.CAR-T cell therapy in metastatic solid tumors [scRNA-Seq]	For single cell RNA-FLEX sequencing: 344SQ tumors from CAR-T-, mock-T- and saline-treated 129S2/SvPasCrl mice were harvested on day 12 post-treatment. 3 mice were harvested per treatment group. CD45- and CD45+ cells were column sorted and fixed. Samples were 4x4 multiplexed and the pools were then loaded in 8 capture lanes. Biological replicates of CD45- or CD45+ samples were pooled together post-
