accession	gds_type	entrytype	taxon	n_samples	gpl	pdat	title	summary	suppfile	ftplink	matched_queries
GSE39103		GSE	Mus musculus	6	6246	2013/01/08	Gene expression changes induced by overexpression of EVI1 in Lin- hematopoietic cells [EVI1_ST]	The transcription factor Evi1 is essential for the formation and maintenance of hematopoietic stem cells, and induces clonal dominance with malignant progression upon constitutive activation by chromosomal rearrangements or transgene integration events. To understand the immediate and adaptive response of primary murine hematopoietic cells to the transcriptional upregulation of Evi1, we developed an inducible lentiviral vector system with a robust expression switch. We found that Evi1 delays differentiation and promotes survival in myeloid culture conditions, orchestrating a battery of genes involved in stemness (Aldh1a1, Ly6a [Sca1], Abca1, Epcam, among others). Importantly, Evi1 suppresses Cyclins and Cyclin-dependent kinases (Cdk), while it upregulates Cdk inhibitors, inducing quiescence in various proliferation-inducing cytokine conditions and operating in a strictly dose-dependent manner. Hematopoietic cells with persisting Evi1-induction tend to adopt a relatively low expression level. We thus classify Evi1 as a dormancy-inducing oncogene, likely requiring epigenetic and genetic compensation for cell expansion and malignant progression.	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39103/	TACSTD2 AND overexpression
GSE40145		GSE	Homo sapiens	18	7504	2013/08/19	SWI/SNF Chromatin-Remodeling Factor Smarcd3/Baf60c Controls Epithelial-Mesenchymal Transition by Inducing Wnt5a Signaling	We previously identified a gene signature predicted to regulate the epithelial-mesenchymal transition (EMT) in both epithelial tissue stem cells and breast cancer cells. A phenotypic RNA interference (RNAi) screen identified the genes within this 140-gene signature that promoted the conversion of mesenchymal epithelial cell adhesion molecule-negative (EpCAM-) breast cancer cells to an epithelial EpCAM+/high phenotype. The screen identified 10 of the 140 genes whose individual knockdown was sufficient to promote EpCAM and E-cadherin expression. Among these 10 genes, RNAi silencing of the SWI/SNF chromatin-remodeling factor Smarcd3/Baf60c in EpCAM- breast cancer cells gave the most robust transition from the mesenchymal to epithelial phenotype. Conversely, expression of Smarcd3/Baf60c in immortalized human mammary epithelial cells induced an EMT. The mesenchymal-like phenotype promoted by Smarcd3/Baf60c expression resulted in gene expression changes in human mammary epithelial cells similar to that of claudin-low triple-negative breast cancer cells. These mammary epithelial cells expressing Smarcd3/Baf60c had upregulated Wnt5a expression. Inhibition of Wnt5a by either RNAi knockdown or blocking antibody reversed Smarcd3/Baf60c-induced EMT. Thus, Smarcd3/Baf60c epigenetically regulates EMT by activating WNT signaling pathways.		ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40145/	TACSTD2 AND knockdown;TACSTD2 AND silencing;TROP-2 AND knockdown
GSE40233		GSE	Homo sapiens	2	6244	2012/10/01	Expression data from human primary keratinocytes	The genetic expression profile of a Wnt signal agonist, BIO, was evaluated in human primary keratinocytes.	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40233/	TACSTD2 AND shRNA
GSE42112		GSE	Homo sapiens	13	13497	2013/05/02	Comparison of extravillous trophoblast cells derived from human embryonic stem cells and from first trimester human placentas	The goal of the present study was to characterize HLA-G-positive cells derived from human embryonic stem cells treated with BMP4 for five days and compare them to HLA-G positive cells derived from human first trimester placentas	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42112/	TACSTD2 AND knockout;TROP2 AND knockout;Tacstd2 AND mouse AND knockout
GSE45149		GSE	Homo sapiens	5	6801	2013/04/01	The MLH1 c.-27C>A and c.85G>T variants are borne on a European ancestral haplotype which underlies an autosomal dominant form of MLH1 epimutation.	Lynch syndrome, caused by germline heterozygous mutations of the DNA mismatch repair genes MLH1, MSH2, MSH6 and PMS2, or deletions affecting the EPCAM gene upstream of MSH2, is characterized by a predisposition to early-onset colorectal and additional extracolonic cancers. An alternative but rare cause of Lynch syndrome is a constitutional epimutation of MLH1, which is characterized by promoter methylation and transcriptional silencing of a single allele in normal tissues. Worldwide, five families with autosomal dominant transmission of a constitutional MLH1 epimutation linked to an MLH1 haplotype with two single nucleotide variants (c.-27C>A and c.85G>T) have been identified. Array-based genotyping using Affymetrix SNP 6.0 data in four of these families revealed a shared haplotype extending across a ≤2.6 Mb region of chromosome 3p22 encompassing MLH1 and additional flanking genes, indicating common ancestry.	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45149/	TACSTD2 AND silencing
GSE46200		GSE	Mus musculus; Homo sapiens	42	7202;13497	2013/04/19	LGR5 positivity defines stem-like cells in colorectal cancer [Expression]	To further elucidate the role of the intestinal stem cell marker Leucine-rich-repeat-containing G-protein-coupled receptor 5 (LGR5) in colorectal cancer (CRC), we exposed Lgr5-EGFP-IRES-Cre-ERT2 mice to azoxymethane/dextrane sodium sulfate (AOM/DSS) which induces inflammation-driven colon tumors. Tumors were then flow-sorted into fractions of epithelial cells that expressed high or low levels of Lgr5 and were characterized using gene expression profiling. In the AOM/DSS-induced mouse colon tumors Lgr5 high cells showed higher levels of several stem cell-associated genes and higher Wnt signaling than Lgr5 low tumor cells and Lgr5 high normal colon epithelial cells. To further elucidate the role of the intestinal stem cell marker Leucine-rich-repeat-containing G-protein-coupled receptor 5 (LGR5) in colorectal cancer (CRC), we transduced SW480 CRC cells with lentiviral shRNA constructs to silence LGR5 expression. This resulted in a depletion of spheres but did not affect adherently growing cells. Spheres expressed higher levels of several stem cell-associated genes than adherent cells. Notch signaling was down-regulated upon LGR5 silencing. This was confirmed by immunohistochemistry against cleaved NOTCH1.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46200/	TACSTD2 AND shRNA;TACSTD2 AND silencing
GSE46712		GSE	Mus musculus; Homo sapiens	58	17130;17131;13497;7202	2013/05/07	LGR5 positivity defines stem-like cells in colorectal cancer	This SuperSeries is composed of the SubSeries listed below.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46712/	TACSTD2 AND shRNA
GSE48443		GSE	Mus musculus	7	6885	2014/04/06	Knockout mice reveal key roles for claudin-18 in alveolar fluid homeostasis.	Claudin proteins are major constituents of epithelial and endothelial tight junctions (TJ), where they serve as regulators of paracellular permeability to ions and solutes. Claudin-18, a member of the large claudin family, is highly expressed in lung epithelium. To elucidate the role of claudin-18 in alveolar epithelial barrier function and fluid homeostasis, we generated claudin-18 knockout (C18 KO) mice. Increased alveolar fluid clearance (AFC) observed in C18 KO mice may have accounted for absence of lung edema despite increased alveolar solute permeability compared to wild type (WT) controls. Higher AFC in C18 KO mice was associated with higher Na-K-ATPase activity and increased expression of the Na-K-ATPase β1 subunit compared to WT controls. Consistent with in vivo findings, alveolar epithelial cell (AEC) monolayers derived from C18 KO mice exhibited lower transepithelial electrical resistance (RT) accompanied by increased solute and ion permeability without changes in ion selectivity. Expression of claudin-3 and claudin-4 was markedly increased in whole lung and in freshly isolated AEC from C18 KO mice, while claudin-5 was unchanged. In contrast, occludin, another major component of the TJ complex, was significantly decreased in C18 KO lung. Further analysis revealed rearrangements in the F-actin cytoskeleton in C18 KO MAECM. These findings demonstrate a crucial non-redundant role for claudin-18 in regulation of alveolar epithelial tight junction composition and permeability to ions and solutes. Importantly, increased AFC in C18 KO mice identifies additional roles for claudin-18 in alveolar fluid homeostasis beyond its direct contributions to barrier properties of the alveolar epithelium.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48443/	claudin 4 AND knockout;claudin AND knockout AND lung
GSE50188		GSE	Mus musculus	6	6246	2013/11/12	Regulation of gene expression in IECs by HDAC3	The development and severity of inflammatory bowel diseases (IBD) and other chronic inflammatory conditions can be influenced by host genetic and environmental factors, including signals derived from commensal bacteria. However, the mechanisms that integrate these diverse cues remain undefined. Here we demonstrate that intestinal epithelial cells (IECs) isolated from IBD patients exhibit decreased expression of the epigenome-modifying enzyme histone deacetylase 3 (HDAC3). Further, genome-wide analyses of murine IECs that lack HDAC3 (HDAC3ΔIEC) revealed that HDAC3 deficiency resulted in dysregulated gene expression coupled with alterations in histone acetylation. Critically, conventionally-housed HDAC3ΔIEC mice demonstrated loss of Paneth cells, impaired IEC function and alterations in the composition of intestinal commensal bacteria. In addition, HDAC3ΔIEC mice exhibited significantly increased susceptibility to intestinal damage and inflammation, indicating that epithelial expression of HDAC3 plays a central role in maintaining intestinal homeostasis. Strikingly, rederivation of HDAC3ΔIEC mice into germ-free conditions revealed that dysregulated IEC gene expression, Paneth cell homeostasis, and intestinal barrier function were largely restored in the absence of commensal bacteria. Collectively, these data indicate that the HDAC3 is a critical factor that integrates commensal bacteria-derived signals to calibrate epithelial cell responses required to establish normal host-commensal relationships and maintain intestinal homeostasis.	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50188/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE50189		GSE	Mus musculus	6	6246	2013/11/12	Regulation of gene expression in IECs by HDAC3 under germ-free conditions	The development and severity of inflammatory bowel diseases (IBD) and other chronic inflammatory conditions can be influenced by host genetic and environmental factors, including signals derived from commensal bacteria. However, the mechanisms that integrate these diverse cues remain undefined. Here we demonstrate that intestinal epithelial cells (IECs) isolated from IBD patients exhibit decreased expression of the epigenome-modifying enzyme histone deacetylase 3 (HDAC3). Further, genome-wide analyses of murine IECs that lack HDAC3 (HDAC3ΔIEC) revealed that HDAC3 deficiency resulted in dysregulated gene expression coupled with alterations in histone acetylation. Critically, conventionally-housed HDAC3ΔIEC mice demonstrated loss of Paneth cells, impaired IEC function and alterations in the composition of intestinal commensal bacteria. In addition, HDAC3ΔIEC mice exhibited significantly increased susceptibility to intestinal damage and inflammation, indicating that epithelial expression of HDAC3 plays a central role in maintaining intestinal homeostasis. Strikingly, rederivation of HDAC3ΔIEC mice into germ-free conditions revealed that dysregulated IEC gene expression, Paneth cell homeostasis, and intestinal barrier function were largely restored in the absence of commensal bacteria. Collectively, these data indicate that the HDAC3 is a critical factor that integrates commensal bacteria-derived signals to calibrate epithelial cell responses required to establish normal host-commensal relationships and maintain intestinal homeostasis.	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50189/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE51389		GSE	Mus musculus	11	17791	2016/01/01	THE BILIARY EPITHELIUM GIVES RISE TO LIVER PROGENITOR CELLS BUT MAKES A MINOR CONTRIBUTION TO HEPATOCYTE REGENERATION AFTER LIVER INJURY	We previously showed that severe liver diseases are characterized by expansion of liver progenitor cells (LPC), which correlates with disease severity. However, the origin and role of LPC in liver physiology and in the hepatic response to injury remains a contentious topic. We have now used genetic lineage tracing of Hnf1β-expressing biliary duct cells to assess their contribution to LPC expansion and hepatocyte generation during normal liver homeostasis, and following different types of liver injury. We found that ductular reaction cells in human cirrhotic livers express HNF1β. However, HNF1β expression was not present in newly generated EpCAM-positive hepatocytes. Using a tamoxifen-inducible Hnf1βCreER/R26RYFP/LacZ mouse, we show that there is no contribution of the biliary epithelium to hepatocyte turnover during liver homeostasis in healthy mice. Moreover, after loss of liver mass, Hnf1β+ LPC did not contribute to hepatocyte regeneration. We also assessed the contribution of Hnf1β+ cells following acute and repeated liver injury. All animal models showed expansion of LPC, as assessed by immunostaining and gene expression profile of sorted YFP-positive cells. A contribution of Hnf1β+ LPC to hepatocyte generation was not detected in animal models of liver injury with preserved hepatocyte regenerative potential such as acute acetaminophen, carbon tetrachloride injury, or chronic diethoxycarbonyl-1,4-dihydro-collidin (DDC)-diet. However, in mice fed with choline-deficient ethionine-supplemented (CDE)-diet, which causes profound hepatocyte damage and arrest, a small number of hepatocytes were derived from Hnf1β+ cells. Conclusion: Hnf1β+ cells do not participate in hepatocyte turnover in the healthy liver or during liver regeneration after partial hepatectomy. After liver injury, LPC arise from the biliary duct epithelium, which gives rise to a limited number of hepatocytes only when hepatocyte regeneration is compromised.	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51389/	Tacstd2 AND deficient
GSE53110		GSE	Mus musculus	14	11002	2014/09/04	Gene expression in thymic epithelial cells [RNA-seq]	This study set out to assay the (polyA+) transcriptomes of specific FACS sorted populations of mouse thymic epithelial cells (TEC).	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53110/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE53111		GSE	Mus musculus	194	11002;17021	2014/09/04	Aire secures the transcription of polycomb marked genes to complete a comprehensive program of promiscuous gene expression in the thymic epithelial cell lineage	This SuperSeries is composed of the SubSeries listed below.		ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53111/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE57391		GSE	Mus musculus	12	13112	2015/05/11	RNA-seq profiling of gene expression in Ezh2-deficient and control murine lung epithelial and stromal cell populations at day E16.5	Epithelial (CD31-CD45-EpCAM+) and stromal (CD31-CD45-EpCAM-) lung cells were derived by FACS from ShhCre;Ezh2fl/fl and control ShhCre;Ezh2fl/+ mouse embryos at day E16.5 (3 biological replicates per genotype-tissue combination). Total RNA extracted from the samples was subjected to NGS library preparation using TruSeq Stranded Total RNA with Ribo-Zero (Illumina). Completed libraries from different samples were sequenced on HiSeq 2000 TruSeq with SBS Kit v3 - HS reagents (Illumina) as 100 bp single end reads at the Australian Genome Research Facility.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57391/	Tacstd2 AND deficient
GSE57392		GSE	Mus musculus	4	17021	2015/05/11	ChIP-seq profiling of H3K27 tri-methylation in Ezh2-deficient and control murine lung epithelium at day E16.5	Epithelial (CD31-CD45-EpCAM+) lung cells were derived by FACS from ShhCre;Ezh2fl/fl and control ShhCre;Ezh2fl/+ mouse embryos at day E16.5 (2 biological replicates per genotype). Chromatin from each of the replicates was immunoprecipitated with H3K27me3 antibody (Millipore #07-449) and subjected to NGS library preparation using TruSeq Nano DNA Sample Preparation Kit (Illumina). Completed libraries from different samples were sequenced on HiSeq 2500 TruSeq with SBS Kit v3 - HS reagents (Illumina) as 100 bp single end reads at the Australian Genome Research Facility.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57392/	Tacstd2 AND deficient
GSE57393		GSE	Mus musculus	16	17021;13112	2015/05/11	Repression of Igf1 expression by Ezh2 prevents basal cell differentiation in the developing lung	Gene expression (RNA-seq) and H3K27me3 binding (ChIP-seq) profiling of wild type and Ezh2-deficient mouse lung epithelium. This SuperSeries is composed of the SubSeries listed below.		ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57393/	Tacstd2 AND deficient
GSE60885		GSE	Homo sapiens	17	13534	2015/04/07	Genome-wide DNA methylation identifies trophoblast invasion-related genes: Claudin-4 and Fucosyltransferase IV control mobility via altering matrix metalloproteinase activity	Previously we have shown that extravillous cytotrophoblast (EVT) outgrowth and migration on a collagen gel explant model were restricted by exposure to decidual natural killer cells (dNK). This study investigates the molecular causes behind this phenomenon. Genome wide DNA methylation of exposed and unexposed EVT was assessed using the Illumina Infinium HumanMethylation450 BeadChip array (450K array). The array identified 444 differentially methylated CpG loci in dNK-treated EVT compared to medium control (P<0.05). The represented genes from these loci had critical biological roles in cellular development, cellular organization and maintenance by Ingenuity Pathway Analysis (IPA). Furthermore, 23 mobility-related genes were identified by IPA from dNK-treated EVT. Among these genes, CLDN4 (encoding claudin-4) and FUT4 (encoding fucosyltranferase IV) were chosen for follow-up studies because of the biological relevance found in the research on tumor cells. The results showed that the mRNA and protein expressions of both CLDN4 and FUT4 in dNK-treated EVT were significantly reduced, and were inversely correlated with DNA methylation. Knocking down CLDN4 and FUT4 by siRNA reduced trophoblast invasion, possibly through the altered MMP-2 and/or MMP-9 expression and activity. Taken together, dNK alter EVT mobility at least partially in association with an alteration of DNA methylation profile. Hypermethylation of CLDN4 and FUT4 reduce protein expressions. CLDN4 and FUT4 are representative genes that participate in modulating trophoblast mobility.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60885/	CLDN4 AND shRNA;CLDN4 AND siRNA;claudin-4 AND siRNA
GSE61582		GSE	Mus musculus	8	6246	2015/01/01	Microarray of Mst1/2 deleted epithelial cells from E18.5 mouse lungs	ShhCre;Mst1/2flx/flx (Mst1/2 D/D) mice were generated to conditionally delete Mst1 and Mst2 from epithelial progenitors during lung morphogenesis. Lungs from E18.5 control and Mst1/2 D/D mice were mechanically and enzymatically dissociated to generate single cell suspension. Epcam(+) cells were isolated using magnetic microbeads. Microarray analysis of mRNAs isolated from Epcam(+) epithelial cells from E18.5 control and Mst1/2 D/D mice was performed to identify transcriptional changes following deletion of the mammalian Hippo kinases (Mst1 and Mst2) from the embryonic lung.	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61582/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE61628		GSE	Homo sapiens; Mus musculus	14	6246;13112;11154	2015/01/01	Mst1/2-Yap in lung epithelial progenitor cells	This SuperSeries is composed of the SubSeries listed below.	CEL, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61628/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE62957		GSE	Mus musculus	11	16570	2015/01/31	Early reprogramming stages and regulators identified by prospective isolation and single cell mass cytometry	In the context of most induced pluripotent stem (iPS) cell reprogramming methods, heterogeneous populations of nonproductive and staggered productive intermediates arise at different reprogramming time points1-11. Despite recent reports claiming substantially increased reprogramming efficiencies using genetically modified donor cells12,13 prospectively isolating distinct reprogramming intermediates remains an important goal to decipher reprogramming mechanisms. Previous attempts to identify surface markers of intermediate cell populations were based on the assumption that during reprogramming the cells progressively lose donor cell identity and gradually acquire iPS cell properties1,2,7,8,10. Here, we report that iPS cell and epithelial markers, such as SSEA1 and EpCAM, respectively, are not predictive of reprogramming during early phases. Instead, in a systematic functional surface marker screen we find that early reprogramming-prone cells express a unique set of surface markers, including CD73, CD49d and CD200 that are absent in fibroblasts and iPS cells. Single cell mass cytometry and prospective isolation show that these distinct intermediates are transient and bridge the gap between donor cell silencing and pluripotency marker acquisition during the early, presumably stochastic reprogramming phase2. Expression profiling revealed that the transcriptional regulators Nr0b1 and Etv5 are specifically expressed in this early reprogramming state, preceding activation of key pluripotency regulators such as Rex1, Dppa2, Nanog and Sox2. Both factors are required for the generation of the early intermediate state and fully reprogrammed iPS cells, and thus mark some of the earliest known regulators of iPS cell induction. Our study shows an ordered sequence of transitions during the earliest steps of iPS cell reprogramming that deconvolutes the first steps in a hierarchical series of events that lead to pluripotency acquisition.	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62957/	TACSTD2 AND knockout;TACSTD2 AND silencing;Tacstd2 AND mouse AND knockout
GSE63258		GSE	Homo sapiens	6	19412	2014/12/01	Differential MicroRNAs in Microarray profile of Retinoblastoma in EpCAM silenced Y 79 cells	We aimed to identify microRNAs which are altered upon EpCAM silencing.EpCAM is over expressed molecule in Retinoblastoma. Retinoblastoma Y 79 cell line was used as model to study the differential expression of microRNA in EpCAM siRNA treated cells.To validate technique we further confirmed deregulated expression of few microRNAs in Y 79 cells using Real Time PCR technique.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63258/	TACSTD2 AND shRNA;TACSTD2 AND siRNA;TACSTD2 AND silencing
GSE64191		GSE	Mus musculus	6	11202	2015/03/04	Egress of mature murine regulatory T cells from the thymus requires RelA	The mechanism of egress of mature regulatory T cells (Tregs) from the thymus to the periphery remains enigmatic, as does the nature of those factors expressed in the thymic environment. Here, we examined the fate of thymic Tregs in TNFα/RelA double-knockout (TA-KO) mice, because TA-KO mice retain a Treg population in the thymus but have only a small Treg population at the periphery. Transplantation of whole TA-KO thymus to under the kidney capsule of Rag1 null mice failed to induce the production of donor-derived splenic Tregs expressing neuropilin-1 (Nrp1), which was reported to be a marker of naturally occurring Tregs, indicating that TA-KO thymic Tregs either do not leave the thymus or are lost at the periphery. We next transplanted enriched TA-KO thymic Tregs to the peripheries of TA-KO mice and traced mouse survival. Transplantation of TA-KO thymic Tregs rescued the lethality in TA-KO mice, demonstrating that TA-KO thymic Tregs remain functional at the periphery. The TA-KO thymic Treg population had highly demethylated CpG motifs in the foxp3 locus, indicating that the cells were arrested at a late-mature stage. Also, the population included a large subpopulation of Tregs expressing IL-7Rα, which is a possible marker of late-mature Tregs. Finally, TA-KO fetal liver chimeric mice developed an Nrp1+ splenic Treg population from TA-KO cells, suggesting that Treg arrest is caused by a lack of RelA in the thymic environment. Together, these results suggest that egress of mature Tregs from the thymus depends on RelA in the thymic environment.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64191/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE67681		GSE	Mus musculus	6	13112	2015/10/07	HDAC inhibition impedes epithelial–mesenchymal plasticity and suppresses metastatic, castration-resistant prostate cancer	PI3K (phosphoinositide 3-kinase)/AKT and RAS/MAPK (mitogen-activated protein kinase) pathway coactivation in the prostate epithelium promotes both epithelial–mesenchymal transition (EMT) and metastatic castration-resistant prostate cancer (mCRPC), which is currently incurable. To study the dynamic regulation of the EMT process, we developed novel genetically defined cellular and in vivo model systems from which epithelial, EMT and mesenchymal-like tumor cells with Pten deletion and Kras activation can be isolated. When cultured individually, each population has the capacity to regenerate all three tumor cell populations, indicative of epithelial–mesenchymal plasticity. Despite harboring the same genetic alterations, mesenchymal-like tumor cells are resistant to PI3K and MAPK pathway inhibitors, suggesting that epigenetic mechanisms may regulate the EMT process, as well as dictate the heterogeneous responses of cancer cells to therapy. Among differentially expressed epigenetic regulators, the chromatin remodeling protein HMGA2 is significantly upregulated in EMT and mesenchymal-like tumors cells, as well as in human mCRPC. Knockdown of HMGA2, or suppressing HMGA2 expression with the histone deacetylase inhibitor LBH589, inhibits epithelial–mesenchymal plasticity and stemness activities in vitro and markedly reduces tumor growth and metastasis in vivo through successful targeting of EMT and mesenchymal-like tumor cells. Importantly, LBH589 treatment in combination with castration prevents mCRPC development and significantly prolongs survival following castration by enhancing p53 and androgen receptor acetylation and in turn sensitizing castration-resistant mesenchymal-like tumor cells to androgen deprivation therapy. Taken together, these findings demonstrate that cellular plasticity is regulated epigenetically, and that mesenchymal-like tumor cell populations in mCRPC that are resistant to conventional and targeted therapies can be effectively treated with the epigenetic inhibitor LBH589.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67681/	TACSTD2 AND knockdown;TROP-2 AND knockdown
GSE68363		GSE	Mus musculus	3	6246	2015/05/25	Expression data of Sirt1-deficient and sufficient medullary thymic epithelial cells (mTECs)	Medullary thymic epithelial cells play essential role for induction of central self-tolerance. This functional capacity is mediated through a phenomenon known as promiscuous gene expression (pGE) of various tissue-restricted antigen (TRA) genes. pGE was previously shown to be mediated by a single factor called the Autoimmune regulator (Aire), which is specically expressed by mTECs. The aim of this study was to analyze the impact of deacetylase Sirtuin1, which is also highly expressed by mTECs, on mTEC gene expression profile and compare it with the impact of Aire. We used Affymetrix mouse 1ST arrays to analyze the impact of the Sirt1 gene on the gene expression profile of MHC-II high medullary thymic epithelial cells	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68363/	Tacstd2 AND deficient
GSE70731		GSE	Mus musculus	15	13112;17021	2015/07/11	MIWI2 and MILI have differential effects on piRNA biogenesis and DNA methylation	In developing male germ cells, prospermatogonia, two Piwi proteins, MILI and MIWI2, use piRNA guides to repress transposable element (TE) expression and ensure genome stability and proper gametogenesis. In addition to their roles in post-transcriptional TE repression, both proteins are required for DNA methylation of TE sequences. Here we analyzed the effect of Miwi2 deficiency on piRNA biogenesis and transposon repression. Miwi2-deficiency had only a minor impact on piRNA biogenesis; however, the piRNA profile of Miwi2-knockout mice indicated overexpression of several LINE1 TE families that led to activation of the ping-pong piRNA cycle. Furthermore, we found that MILI and MIWI2 have distinct functions in TE repression in the nucleus. MILI is responsible for DNA methylation of a larger subset of TE families than MIWI2 suggesting that the proteins have independent roles in establishing DNA methylation patterns.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70731/	TACSTD2 AND knockout;TACSTD2 AND overexpression;Tacstd2 AND mouse AND knockout
GSE70891		GSE	Mus musculus	37	18480;17021	2017/07/20	The effect of the Pld6 and Dnmt3l mutations on DNA methylation and expression of retrotransposons in mouse male germ cells	Mammalian genomes harbor millions of retrotransposon copies, some of which are transpositionally active. In mouse prospermatogonia, PIWI-interacting small RNAs called piRNAs combat retrotransposon activity. The piRNA system guides de novo DNA methylation at retrotransposon promoters, but it remains unclear whether DNA methylation is involved in retrotransposon silencing in prospermatogonia. We performed a genome-wide study of DNA methylation and RNA abundance for retrotransposons in developing mouse male germ cells, using Pld6/Mitopld and Dnmt3l knockout (KO) mice deficient in piRNA biogenesis and de novo DNA methylation, respectively. The Dnmt3l mutation greatly reduced DNA methylation at most retrotransposons but its effect on their RNA abundance was low in prospermatogonia. In the Pld6 mutants, only few retrotransposons exhibited reduced DNA methylation but many were more upregulated at the RNA level than in the Dnmt3l mutants. Moreover, the retrotransposon upregulation by the Pld6 mutation was observed even in the Dnmt3l KO background. Thus, in prospermatogonia, post-transcriptional RNA digestion by the piRNA system plays a more important role in retrotransposon regulation than transcriptional silencing by DNA methylation. However, their relative importance was changed in meiotic spermatocytes where hypomethylation of retrotransposons increased their expression by up to 100-fold in both mutants. Interestingly, retrotransposon activation disrupted the transcriptome integrity because intergenic and intronic retrotransposon sequences, in particular, the antisense promoter of LINE-1, drive expression of nearby genes.	CSV, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70891/	TACSTD2 AND knockout;TACSTD2 AND silencing;Tacstd2 AND deficient;Tacstd2 AND mouse AND knockout
GSE71877		GSE	Mus musculus	18	13112	2016/05/21	The mir-143-145 cluster plays a pro-tumorigenic role in lung adenocarcinoma by promoting neoangiogenesis	A growing body of literature has proposed cell-autonomous tumor suppressor functions for the mir-143~145 cluster in a variety of human cancers, including lung adenocarcinoma, and has reported therapeutic benefits of delivering mir-143 and mir- 145 to tumors. In contrast to these studies, we found that depletion or forced expression of mir-143 and mir-145 in an autochthonous mouse model of lung adenocarcinoma did not affect tumor development. Surprisingly, we observed that loss of mir-143~145 from the tumor microenvironment significantly reduced tumor burden, indicating a non-cell- autonomous role for these miRNAs in promoting tumorigenesis. By examining the expression patterns of different cell populations isolated in vivo from tumor-bearing lungs using an integrated computational approach, we identified a role for mir-145 in stimulating the proliferation of endothelial cells by downregulating an inhibitory kinase, Camk1d, which prevents mitotic entry. As a consequence, tumors in mir-143~145- deficient animals exhibited diminished hallmarks of neo-angiogenesis, increased apoptosis and their expansion appeared limited by the tumor’s ability to co-opt the alveolar vasculature. These findings show that expression of the mir-143~145 cluster in the tumor stroma promotes rather than suppresses tumorigenesis and cautions against the use of these miRNAs as agents in cancer therapeutics.	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71877/	Tacstd2 AND deficient
GSE72406		GSE	Mus musculus	6	1261	2016/06/15	Identification and targeting of long-term tumor propagating cells in small cell lung cancer	FACS sorted TPCs (CD24HighCD44LowEpCAMHigh) and non-TPCs (CD24Low, CD24HighCD44High, and CD24HighCD44LowEpCAMLow) from mouse primary SCLC tumors We used microarrays to identify genes that are differentially expressed in TPCs versus non-TPCs.	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72406/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
